distance_m,rain_rate_mmph,humidity_pct,visibility_km,Cn2,SNR_RF_dB,SNR_FSO_dB,SNR_THz_dB,C_RF_bps,C_FSO_bps,C_THz_bps,Eb_RF_J_per_bit,Eb_FSO_J_per_bit,Eb_THz_J_per_bit,best_channel,scenario
10.0,56.5513945986145,92.27852244835447,0.18261982399399146,5e-14,47.1351937405813,70.81427375519743,47.99741911946339,313160006.7496767,1000000000.0,1000000000.0,3.193255774832533e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,worst
20.0,56.5513945986145,92.27852244835447,0.18261982399399146,5e-14,41.631382294899566,62.788798703526034,41.948135649449256,276594898.7103635,1000000000.0,1000000000.0,3.6153956731036844e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,worst
30.0,56.5513945986145,92.27852244835447,0.18261982399399146,5e-14,42.14807419522084,57.26321000894261,38.39762691160112,280027503.10713494,1000000000.0,1000000000.0,3.571077800945191e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,worst
40.0,56.5513945986145,92.27852244835447,0.18261982399399146,5e-14,40.1695198218347,52.76136724396071,35.87016862270062,266883287.70847264,1000000000.0,1000000000.0,3.74695623913454e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,worst
50.0,56.5513945986145,92.27852244835447,0.18261982399399146,5e-14,34.82132330662556,48.82060329081108,33.90328480580497,231357370.44929224,1000000000.0,1000000000.0,4.322317452251538e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,worst
60.0,56.5513945986145,92.27852244835447,0.18261982399399146,5e-14,34.188355997839125,45.23480898497978,32.29097632811798,227153517.91691497,1000000000.0,1000000000.0,4.4023091043026064e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,worst
70.0,56.5513945986145,92.27852244835447,0.18261982399399146,5e-14,31.85824777887298,41.894026682974875,30.92335697877121,211680420.1813128,1000000000.0,1000000000.0,4.724102489703392e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,worst
80.0,56.5513945986145,92.27852244835447,0.18261982399399146,5e-14,29.35139010995232,38.73261406759486,29.734834482482967,195039897.02461994,1000000000.0,1000000000.0,5.127156111417398e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,worst
90.0,56.5513945986145,92.27852244835447,0.18261982399399146,5e-14,29.793566202733274,35.70822581561216,28.68310047680083,197974411.9129844,1000000000.0,1000000000.0,5.05115782558571e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,worst
100.0,56.5513945986145,92.27852244835447,0.18261982399399146,5e-14,27.21275565544758,32.79194568903066,27.739267108852815,180852401.8237341,1000000000.0,1000000000.0,5.529370856653812e-10,1.0000000000000001e-11,3.1622776601683794e-11,1,worst
