distance_m,distance_km,L_atm_dB,L_turb_dB,L_point_dB,L_total_dB,SNR_dB,Eb_J,capacity_bps,outage_flag_cap
10.0,0.01,0.002207887190382137,1.862854583102165e-05,0.30962284345742963,0.3118493591936428,88.68815064080636,1.0000000000000001e-11,29461565931.681187,0
20.0,0.02,0.004415774380764274,6.638459040829987e-05,0.30962284345742963,0.31410500242860223,88.6858949975714,1.0000000000000001e-11,29460816623.218773,0
30.0,0.03,0.006623661571146411,0.00013960509064214914,0.30962284345742963,0.3163861101192182,88.68361388988077,1.0000000000000001e-11,29460058855.647305,0
40.0,0.04,0.008831548761528548,0.00023656778599581666,0.30962284345742963,0.318690960004954,88.68130903999504,1.0000000000000001e-11,29459293201.089348,0
50.0,0.05,0.011039435951910686,0.0003561426308791739,0.30962284345742963,0.32101842204021946,88.67898157795977,1.0000000000000001e-11,29458520034.937927,0
60.0,0.06,0.013247323142292822,0.0004974959851958413,0.30962284345742963,0.3233676625849183,88.67663233741509,1.0000000000000001e-11,29457739634.122276,0
70.0,0.07,0.015455210332674961,0.0006599717732423151,0.30962284345742963,0.3257380255633469,88.67426197443666,1.0000000000000001e-11,29456952216.58604,0
80.0,0.08,0.017663097523057097,0.0008430317491869854,0.30962284345742963,0.32812897272967373,88.67187102727033,1.0000000000000001e-11,29456157961.130592,0
90.0,0.09,0.019870984713439233,0.0010462212944342944,0.30962284345742963,0.33054004946530313,88.6694599505347,1.0000000000000001e-11,29455357018.776978,0
100.0,0.1,0.022078871903821372,0.0012691480533026593,0.30962284345742963,0.3329708634145537,88.66702913658544,1.0000000000000001e-11,29454549519.862926,0
110.0,0.11,0.024286759094203508,0.0015114677231694827,0.30962284345742963,0.3354210702748026,88.6645789297252,1.0000000000000001e-11,29453735578.763298,0
120.0,0.12,0.026494646284585643,0.001772874141963076,0.30962284345742963,0.33789036388397836,88.66210963611601,1.0000000000000001e-11,29452915297.18293,0
130.0,0.13,0.028702533474967783,0.0020530921092605033,0.30962284345742963,0.3403784690416579,88.65962153095835,1.0000000000000001e-11,29452088766.541424,0
140.0,0.14,0.030910420665349922,0.0023518720271605213,0.30962284345742963,0.3428851361499401,88.65711486385005,1.0000000000000001e-11,29451256069.753407,0
150.0,0.15,0.033118307855732054,0.0026689857982143276,0.30962284345742963,0.345410137111376,88.65458986288863,1.0000000000000001e-11,29450417282.5912,0
160.0,0.16,0.035326195046114194,0.003004223618807643,0.30962284345742963,0.34795326212235145,88.65204673787765,1.0000000000000001e-11,29449572474.75008,0
170.0,0.17,0.03753408223649633,0.003357391427127001,0.30962284345742963,0.35051431712105297,88.64948568287895,1.0000000000000001e-11,29448721710.69597,0
180.0,0.18,0.039741969426878465,0.00372830884041212,0.30962284345742963,0.35309312172472024,88.64690687827527,1.0000000000000001e-11,29447865050.35072,0
190.0,0.19,0.041949856617260604,0.0041168074650009615,0.30962284345742963,0.3556895075396912,88.6443104924603,1.0000000000000001e-11,29447002549.653507,0
200.0,0.2,0.044157743807642744,0.004522729495270513,0.30962284345742963,0.3583033167603429,88.64169668323966,1.0000000000000001e-11,29446134261.026215,0
210.0,0.21,0.046365630998024876,0.004945926539755473,0.30962284345742963,0.36093440099520996,88.6390655990048,1.0000000000000001e-11,29445260233.763435,0
220.0,0.22,0.048573518188407015,0.005386258628328061,0.30962284345742963,0.3635826202741647,88.63641737972583,1.0000000000000001e-11,29444380514.362213,0
230.0,0.23,0.050781405378789155,0.005843593365381506,0.30962284345742963,0.3662478422016003,88.6337521577984,1.0000000000000001e-11,29443495146.803444,0
240.0,0.24,0.05298929256917129,0.00631780520199488,0.30962284345742963,0.3689299412285958,88.6310700587714,1.0000000000000001e-11,29442604172.79356,0
250.0,0.25,0.055197179759553426,0.006808774806022322,0.30962284345742963,0.37162879802300536,88.62837120197699,1.0000000000000001e-11,29441707631.97385,0
260.0,0.26,0.057405066949935565,0.007316388513458165,0.30962284345742963,0.3743442989208233,88.62565570107918,1.0000000000000001e-11,29440805562.102673,0
270.0,0.27,0.059612954140317705,0.007840537847826892,0.30962284345742963,0.37707633544557423,88.62292366455442,1.0000000000000001e-11,29439897999.21513,0
280.0,0.28,0.061820841330699844,0.008381119096909298,0.30962284345742963,0.37982480388503875,88.62017519611496,1.0000000000000001e-11,29438984977.763683,0
290.0,0.29,0.06402872852108198,0.008938032938119872,0.30962284345742963,0.38258960491663146,88.61741039508337,1.0000000000000001e-11,29438066530.742588,0
300.0,0.3,0.06623661571146411,0.009511184105455707,0.30962284345742963,0.38537064327434944,88.61462935672566,1.0000000000000001e-11,29437142689.798515,0
310.0,0.31,0.06844450290184625,0.010100481092126419,0.30962284345742963,0.3881678274514023,88.6118321725486,1.0000000000000001e-11,29436213485.32936,0
320.0,0.32,0.07065239009222839,0.010705835884010296,0.30962284345742963,0.3909810694336683,88.60901893056634,1.0000000000000001e-11,29435278946.57279,0
330.0,0.33,0.07286027728261052,0.011327163719871969,0.30962284345742963,0.3938102844599121,88.60618971554008,1.0000000000000001e-11,29434339101.68586,0
340.0,0.34,0.07506816447299267,0.011964382874892538,0.30962284345742963,0.39665539080531487,88.60334460919469,1.0000000000000001e-11,29433393977.816998,0
350.0,0.35,0.0772760516633748,0.012617414464644015,0.30962284345742963,0.3995163095854484,88.60048369041455,1.0000000000000001e-11,29432443601.171013,0
