distance_m,extinction_per_m,path_loss_dB,Pr_dBm,SNR_dB,Capacity_bps
10.0,0.2,9.686,0.31400000000000006,99.314,329913966.81733304
20.0,0.2,18.372,-8.372,90.628,301059699.3959364
30.0,0.2,27.058,-17.058,81.94200000000001,272205432.043512
40.0,0.2,35.744,-25.744,73.256,243351165.20073915
50.0,0.2,44.43,-34.43,64.57,214496902.1239061
60.0,0.2,53.116,-43.116,55.884,185642666.87448055
70.0,0.2,61.802,-51.802,47.198,156788637.24637038
80.0,0.2,70.488,-60.488,38.512,127936126.88504599
90.0,0.2,79.174,-69.174,29.825999999999993,99094836.2494365
100.0,0.2,87.86,-77.86,21.14,70336097.44708629
110.0,0.2,96.546,-86.546,12.453999999999994,42168765.665917926
120.0,0.2,105.232,-95.232,3.7680000000000007,17575450.07927214
130.0,0.2,113.918,-103.918,-4.918000000000006,4030007.024921769
140.0,0.2,122.604,-112.604,-13.604,615846.0483198663
150.0,0.2,131.29,-121.28999999999999,-22.289999999999992,84897.72920922034
160.0,0.2,139.976,-129.976,-30.976,11518.638659232172
170.0,0.2,148.662,-138.662,-39.662000000000006,1559.3767970242857
180.0,0.2,157.348,-147.348,-48.34800000000001,211.0431995508085
190.0,0.2,166.03400000000002,-156.03400000000002,-57.03400000000002,28.56104602371501
200.0,0.2,174.72,-164.72,-65.72,3.865222338362698
210.0,0.2,183.406,-173.406,-74.406,0.5230877285648198
220.0,0.2,192.092,-182.092,-83.09200000000001,0.07079042709319448
230.0,0.2,200.77800000000002,-190.77800000000002,-91.77800000000002,0.009580199333393071
240.0,0.2,209.464,-199.464,-100.464,0.0012965067916982358
250.0,0.2,218.15,-208.15,-109.15,0.00017545807646588373
260.0,0.2,226.836,-216.836,-117.83600000000001,2.374379724625663e-05
270.0,0.2,235.52200000000002,-225.52200000000002,-126.52200000000002,3.213036783326005e-06
280.0,0.2,244.208,-234.208,-135.208,4.3566600451882223e-07
290.0,0.2,252.894,-242.894,-143.894,5.76616770686684e-08
300.0,0.2,261.58,-251.57999999999998,-152.57999999999998,6.406853007629834e-09
310.0,0.2,270.266,-260.266,-161.26600000000002,0.0
320.0,0.2,278.952,-268.952,-169.952,0.0
330.0,0.2,287.63800000000003,-277.63800000000003,-178.63800000000003,0.0
340.0,0.2,296.324,-286.324,-187.324,0.0
350.0,0.2,305.01,-295.01,-196.01,0.0
360.0,0.2,313.696,-303.696,-204.69600000000003,0.0
370.0,0.2,322.382,-312.382,-213.382,0.0
380.0,0.2,331.06800000000004,-321.06800000000004,-222.06800000000004,0.0
390.0,0.2,339.754,-329.754,-230.75400000000002,0.0
400.0,0.2,348.44,-338.44,-239.44,0.0
410.0,0.2,357.12600000000003,-347.12600000000003,-248.12600000000003,0.0
420.0,0.2,365.812,-355.812,-256.812,0.0
430.0,0.2,374.498,-364.498,-265.498,0.0
440.0,0.2,383.184,-373.184,-274.184,0.0
450.0,0.2,391.87,-381.87,-282.87,0.0
460.0,0.2,400.55600000000004,-390.55600000000004,-291.55600000000004,0.0
470.0,0.2,409.242,-399.242,-300.242,0.0
480.0,0.2,417.928,-407.928,-308.928,0.0
490.0,0.2,426.61400000000003,-416.61400000000003,-317.61400000000003,0.0
500.0,0.2,435.3,-425.3,-326.3,0.0
510.0,0.2,443.98600000000005,-433.98600000000005,-334.98600000000005,0.0
520.0,0.2,452.672,-442.672,-343.672,0.0
530.0,0.2,461.358,-451.358,-352.358,0.0
540.0,0.2,470.04400000000004,-460.04400000000004,-361.04400000000004,0.0
550.0,0.2,478.73,-468.73,-369.73,0.0
560.0,0.2,487.416,-477.416,-378.416,0.0
570.0,0.2,496.10200000000003,-486.10200000000003,-387.10200000000003,0.0
580.0,0.2,504.788,-494.788,-395.788,0.0
590.0,0.2,513.474,-503.47400000000005,-404.47400000000005,0.0
600.0,0.2,522.16,-512.16,-413.15999999999997,0.0
610.0,0.2,530.846,-520.846,-421.846,0.0
620.0,0.2,539.532,-529.532,-430.53200000000004,0.0
630.0,0.2,548.2180000000001,-538.2180000000001,-439.2180000000001,0.0
640.0,0.2,556.904,-546.904,-447.904,0.0
650.0,0.2,565.59,-555.59,-456.59000000000003,0.0
660.0,0.2,574.2760000000001,-564.2760000000001,-465.27600000000007,0.0
670.0,0.2,582.962,-572.962,-473.962,0.0
680.0,0.2,591.648,-581.648,-482.648,0.0
690.0,0.2,600.3340000000001,-590.3340000000001,-491.33400000000006,0.0
700.0,0.2,609.02,-599.02,-500.02,0.0
710.0,0.2,617.706,-607.706,-508.706,0.0
720.0,0.2,626.392,-616.392,-517.392,0.0
730.0,0.2,635.078,-625.078,-526.078,0.0
740.0,0.2,643.764,-633.764,-534.764,0.0
750.0,0.2,652.45,-642.45,-543.45,0.0
760.0,0.2,661.1360000000001,-651.1360000000001,-552.1360000000001,0.0
770.0,0.2,669.822,-659.822,-560.822,0.0
780.0,0.2,678.508,-668.508,-569.508,0.0
790.0,0.2,687.1940000000001,-677.1940000000001,-578.1940000000001,0.0
800.0,0.2,695.88,-685.88,-586.88,0.0
810.0,0.2,704.566,-694.566,-595.566,0.0
820.0,0.2,713.2520000000001,-703.2520000000001,-604.2520000000001,0.0
830.0,0.2,721.938,-711.938,-612.938,0.0
840.0,0.2,730.624,-720.624,-621.624,0.0
850.0,0.2,739.3100000000001,-729.3100000000001,-630.3100000000001,0.0
860.0,0.2,747.996,-737.996,-638.996,0.0
870.0,0.2,756.682,-746.682,-647.682,0.0
880.0,0.2,765.368,-755.368,-656.368,0.0
890.0,0.2,774.0540000000001,-764.0540000000001,-665.0540000000001,0.0
900.0,0.2,782.74,-772.74,-673.74,0.0
910.0,0.2,791.426,-781.426,-682.426,0.0
920.0,0.2,800.1120000000001,-790.1120000000001,-691.1120000000001,0.0
930.0,0.2,808.798,-798.798,-699.798,0.0
940.0,0.2,817.484,-807.484,-708.484,0.0
950.0,0.2,826.1700000000001,-816.1700000000001,-717.1700000000001,0.0
960.0,0.2,834.856,-824.856,-725.856,0.0
970.0,0.2,843.542,-833.542,-734.542,0.0
980.0,0.2,852.2280000000001,-842.2280000000001,-743.2280000000001,0.0
990.0,0.2,860.914,-850.914,-751.914,0.0
1000.0,0.2,869.6,-859.6,-760.6,0.0
1010.0,0.2,878.2860000000001,-868.2860000000001,-769.2860000000001,0.0
1020.0,0.2,886.9720000000001,-876.9720000000001,-777.9720000000001,0.0
1030.0,0.2,895.658,-885.658,-786.658,0.0
1040.0,0.2,904.344,-894.344,-795.344,0.0
1050.0,0.2,913.0300000000001,-903.0300000000001,-804.0300000000001,0.0
1060.0,0.2,921.716,-911.716,-812.716,0.0
1070.0,0.2,930.402,-920.402,-821.402,0.0
1080.0,0.2,939.0880000000001,-929.0880000000001,-830.0880000000001,0.0
1090.0,0.2,947.774,-937.774,-838.774,0.0
1100.0,0.2,956.46,-946.46,-847.46,0.0
1110.0,0.2,965.1460000000001,-955.1460000000001,-856.1460000000001,0.0
1120.0,0.2,973.832,-963.832,-864.832,0.0
1130.0,0.2,982.518,-972.518,-873.518,0.0
1140.0,0.2,991.2040000000001,-981.2040000000001,-882.2040000000001,0.0
1150.0,0.2,999.8900000000001,-989.8900000000001,-890.8900000000001,0.0
1160.0,0.2,1008.576,-998.576,-899.576,0.0
1170.0,0.2,1017.2620000000001,-1007.2620000000001,-908.2620000000001,0.0
1180.0,0.2,1025.948,-1015.9480000000001,-916.9480000000001,0.0
1190.0,0.2,1034.634,-1024.634,-925.634,0.0
1200.0,0.2,1043.32,-1033.32,-934.3199999999999,0.0
1210.0,0.2,1052.006,-1042.006,-943.0060000000001,0.0
1220.0,0.2,1060.692,-1050.692,-951.692,0.0
1230.0,0.2,1069.3780000000002,-1059.3780000000002,-960.3780000000002,0.0
1240.0,0.2,1078.064,-1068.064,-969.0640000000001,0.0
1250.0,0.2,1086.75,-1076.75,-977.75,0.0
1260.0,0.2,1095.4360000000001,-1085.4360000000001,-986.4360000000001,0.0
1270.0,0.2,1104.122,-1094.122,-995.1220000000001,0.0
1280.0,0.2,1112.808,-1102.808,-1003.808,0.0
1290.0,0.2,1121.4940000000001,-1111.4940000000001,-1012.4940000000001,0.0
1300.0,0.2,1130.18,-1120.18,-1021.1800000000001,0.0
1310.0,0.2,1138.866,-1128.866,-1029.866,0.0
1320.0,0.2,1147.5520000000001,-1137.5520000000001,-1038.5520000000001,0.0
1330.0,0.2,1156.238,-1146.238,-1047.238,0.0
1340.0,0.2,1164.924,-1154.924,-1055.924,0.0
1350.0,0.2,1173.6100000000001,-1163.6100000000001,-1064.6100000000001,0.0
1360.0,0.2,1182.296,-1172.296,-1073.296,0.0
1370.0,0.2,1190.982,-1180.982,-1081.982,0.0
1380.0,0.2,1199.6680000000001,-1189.6680000000001,-1090.6680000000001,0.0
1390.0,0.2,1208.354,-1198.354,-1099.354,0.0
1400.0,0.2,1217.04,-1207.04,-1108.04,0.0
1410.0,0.2,1225.726,-1215.726,-1116.726,0.0
1420.0,0.2,1234.412,-1224.412,-1125.412,0.0
1430.0,0.2,1243.098,-1233.098,-1134.098,0.0
1440.0,0.2,1251.784,-1241.784,-1142.784,0.0
1450.0,0.2,1260.47,-1250.47,-1151.47,0.0
1460.0,0.2,1269.156,-1259.156,-1160.156,0.0
1470.0,0.2,1277.842,-1267.842,-1168.842,0.0
1480.0,0.2,1286.528,-1276.528,-1177.528,0.0
1490.0,0.2,1295.2140000000002,-1285.2140000000002,-1186.2140000000002,0.0
1500.0,0.2,1303.9,-1293.9,-1194.9,0.0
1510.0,0.2,1312.586,-1302.586,-1203.586,0.0
1520.0,0.2,1321.2720000000002,-1311.2720000000002,-1212.2720000000002,0.0
1530.0,0.2,1329.958,-1319.958,-1220.958,0.0
1540.0,0.2,1338.644,-1328.644,-1229.644,0.0
1550.0,0.2,1347.3300000000002,-1337.3300000000002,-1238.3300000000002,0.0
1560.0,0.2,1356.016,-1346.016,-1247.016,0.0
1570.0,0.2,1364.702,-1354.702,-1255.702,0.0
1580.0,0.2,1373.3880000000001,-1363.3880000000001,-1264.3880000000001,0.0
1590.0,0.2,1382.074,-1372.074,-1273.074,0.0
1600.0,0.2,1390.76,-1380.76,-1281.76,0.0
1610.0,0.2,1399.4460000000001,-1389.4460000000001,-1290.4460000000001,0.0
1620.0,0.2,1408.132,-1398.132,-1299.132,0.0
1630.0,0.2,1416.818,-1406.818,-1307.818,0.0
1640.0,0.2,1425.5040000000001,-1415.5040000000001,-1316.5040000000001,0.0
1650.0,0.2,1434.19,-1424.19,-1325.19,0.0
1660.0,0.2,1442.876,-1432.876,-1333.876,0.0
1670.0,0.2,1451.5620000000001,-1441.5620000000001,-1342.5620000000001,0.0
1680.0,0.2,1460.248,-1450.248,-1351.248,0.0
1690.0,0.2,1468.934,-1458.934,-1359.934,0.0
