distance_m,extinction_per_m,path_loss_dB,Pr_dBm,SNR_dB,Eb_J,capacity_bps,outage_flag_cap
10.0,0.05,3.1715,6.8285,105.8285,1e-09,351554667.39016426,0
20.0,0.05,5.343,4.657,103.657,1e-09,344341100.5323609,0
30.0,0.05,7.5145,2.4855,101.4855,1e-09,337127533.6747162,0
40.0,0.05,9.686,0.31400000000000006,99.314,1e-09,329913966.81733304,0
50.0,0.05,11.8575,-1.8575,97.1425,1e-09,322700399.9603812,0
60.0,0.05,14.029,-4.029,94.971,1e-09,315486833.10414046,0
70.0,0.05,16.200499999999998,-6.200499999999998,92.7995,1e-09,308273266.249072,0
80.0,0.05,18.372,-8.372,90.628,1e-09,301059699.3959364,0
90.0,0.05,20.5435,-10.543500000000002,88.4565,1e-09,293846132.5459878,0
100.0,0.05,22.715,-12.715,86.285,1e-09,286632565.7012931,0
110.0,0.05,24.8865,-14.886500000000002,84.1135,1e-09,279418998.8652613,0
120.0,0.05,27.058,-17.058,81.94200000000001,1e-09,272205432.043512,0
130.0,0.05,29.2295,-19.2295,79.7705,1e-09,264991865.2453107,0
140.0,0.05,31.401,-21.401,77.599,1e-09,257778298.48593384,0
150.0,0.05,33.5725,-23.572499999999998,75.42750000000001,1e-09,250564731.79056802,0
160.0,0.05,35.744,-25.744,73.256,1e-09,243351165.20073915,0
170.0,0.05,37.9155,-27.9155,71.08449999999999,1e-09,236137598.78491256,0
180.0,0.05,40.087,-30.087000000000003,68.913,1e-09,228924032.6559689,0
190.0,0.05,42.258500000000005,-32.258500000000005,66.7415,1e-09,221710467.0000183,0
200.0,0.05,44.43,-34.43,64.57,1e-09,214496902.1239061,0
210.0,0.05,46.6015,-36.6015,62.3985,1e-09,207283338.53353795,0
220.0,0.05,48.773,-38.773,60.227,1e-09,200069777.0630158,0
230.0,0.05,50.944500000000005,-40.944500000000005,58.055499999999995,1e-09,192856219.0875482,0
240.0,0.05,53.116,-43.116,55.884,1e-09,185642666.87448055,0
250.0,0.05,55.2875,-45.2875,53.7125,1e-09,178429124.16204393,0
260.0,0.05,57.459,-47.459,51.541,1e-09,171215597.11354366,0
270.0,0.05,59.630500000000005,-49.630500000000005,49.369499999999995,1e-09,164002095.8905208,0
280.0,0.05,61.802,-51.802,47.198,1e-09,156788637.24637038,0
290.0,0.05,63.9735,-53.9735,45.0265,1e-09,149575248.80223805,0
300.0,0.05,66.145,-56.144999999999996,42.855000000000004,1e-09,142361976.09605896,0
310.0,0.05,68.3165,-58.316500000000005,40.683499999999995,1e-09,135148894.20243964,0
320.0,0.05,70.488,-60.488,38.512,1e-09,127936126.88504599,0
330.0,0.05,72.65950000000001,-62.65950000000001,36.34049999999999,1e-09,120723878.15831073,0
340.0,0.05,74.831,-64.831,34.169,1e-09,113512484.28226976,0
350.0,0.05,77.0025,-67.0025,31.997500000000002,1e-09,106302499.3741383,0
360.0,0.05,79.174,-69.174,29.825999999999993,1e-09,99094836.2494365,0
370.0,0.05,81.3455,-71.3455,27.6545,1e-09,91890997.79188506,0
380.0,0.05,83.51700000000001,-73.51700000000001,25.48299999999999,1e-09,84693456.14631869,0
390.0,0.05,85.6885,-75.6885,23.311499999999995,1e-09,77506271.75865017,0
400.0,0.05,87.86,-77.86,21.14,1e-09,70336097.44708629,0
410.0,0.05,90.03150000000001,-80.03150000000001,18.96849999999999,1e-09,63193789.500393346,0
420.0,0.05,92.203,-82.203,16.796999999999997,1e-09,56096946.33544372,0
430.0,0.05,94.3745,-84.3745,14.625500000000002,1e-09,49073787.071704336,0
440.0,0.05,96.546,-86.546,12.453999999999994,1e-09,42168765.665917926,0
450.0,0.05,98.7175,-88.7175,10.282499999999999,1e-09,35449925.89675444,0
460.0,0.05,100.88900000000001,-90.88900000000001,8.11099999999999,1e-09,29016713.886576686,0
470.0,0.05,103.0605,-93.0605,5.939499999999995,1e-09,23004158.461072564,0
480.0,0.05,105.232,-95.232,3.7680000000000007,1e-09,17575450.07927214,0
490.0,0.05,107.40350000000001,-97.40350000000001,1.5964999999999918,1e-09,12894068.171962388,0
500.0,0.05,109.575,-99.575,-0.5750000000000028,1e-09,9076534.584737554,1
510.0,0.05,111.74650000000001,-101.74650000000001,-2.7465000000000117,1e-09,6147686.897886069,1
520.0,0.05,113.918,-103.918,-4.918000000000006,1e-09,4030007.024921769,1
530.0,0.05,116.0895,-106.0895,-7.089500000000001,1e-09,2575615.7062847572,1
540.0,0.05,118.26100000000001,-108.26100000000001,-9.26100000000001,1e-09,1616291.9871384038,1
550.0,0.05,120.4325,-110.4325,-11.432500000000005,1e-09,1001750.2362415496,1
560.0,0.05,122.604,-112.604,-13.604,1e-09,615846.0483198663,1
570.0,0.05,124.77550000000001,-114.77550000000001,-15.775500000000008,1e-09,376654.35385239194,1
580.0,0.05,126.947,-116.947,-17.947000000000003,1e-09,229622.1595117272,1
590.0,0.05,129.1185,-119.11850000000001,-20.11850000000001,1e-09,139707.60032923374,1
600.0,0.05,131.29,-121.28999999999999,-22.289999999999992,1e-09,84897.72920922034,1
610.0,0.05,133.4615,-123.4615,-24.4615,1e-09,51552.33820345459,1
620.0,0.05,135.633,-125.63300000000001,-26.63300000000001,1e-09,31289.85096956737,1
630.0,0.05,137.80450000000002,-127.80450000000002,-28.80450000000002,1e-09,18986.22994524916,1
640.0,0.05,139.976,-129.976,-30.976,1e-09,11518.638659232172,1
650.0,0.05,142.1475,-132.1475,-33.14750000000001,1e-09,6987.460453481671,1
660.0,0.05,144.31900000000002,-134.31900000000002,-35.31900000000002,1e-09,4238.485891000324,1
670.0,0.05,146.4905,-136.4905,-37.4905,1e-09,2570.9038960751086,1
680.0,0.05,148.662,-138.662,-39.662000000000006,1e-09,1559.3767970242857,1
690.0,0.05,150.83350000000002,-140.83350000000002,-41.833500000000015,1e-09,945.8239409724147,1
700.0,0.05,153.005,-143.005,-44.004999999999995,1e-09,573.6749735076197,1
710.0,0.05,155.1765,-145.1765,-46.176500000000004,1e-09,347.95197165176455,1
720.0,0.05,157.348,-147.348,-48.34800000000001,1e-09,211.0431995508085,1
730.0,0.05,159.5195,-149.5195,-50.519499999999994,1e-09,128.00372623538766,1
740.0,0.05,161.691,-151.691,-52.691,1e-09,77.63782681108238,1
