distance_m,extinction_per_m,path_loss_dB,Pr_dBm,SNR_dB,Eb_J,capacity_bps,outage_flag_cap
10.0,0.5,22.715,-12.715,86.285,1e-09,286632565.7012931,0
20.0,0.5,44.43,-34.43,64.57,1e-09,214496902.1239061,0
30.0,0.5,66.145,-56.144999999999996,42.855000000000004,1e-09,142361976.09605896,0
40.0,0.5,87.86,-77.86,21.14,1e-09,70336097.44708629,0
50.0,0.5,109.575,-99.575,-0.5750000000000028,1e-09,9076534.584737554,1
60.0,0.5,131.29,-121.28999999999999,-22.289999999999992,1e-09,84897.72920922034,1
70.0,0.5,153.005,-143.005,-44.004999999999995,1e-09,573.6749735076197,1
80.0,0.5,174.72,-164.72,-65.72,1e-09,3.865222338362698,1
90.0,0.5,196.435,-186.435,-87.435,1e-09,0.026042012278844937,1
100.0,0.5,218.15,-208.15,-109.15,1e-09,0.00017545807646588373,1
110.0,0.5,239.865,-229.865,-130.865,1e-09,1.182064379907656e-06,1
120.0,0.5,261.58,-251.57999999999998,-152.57999999999998,1e-09,6.406853007629834e-09,1
130.0,0.5,283.295,-273.295,-174.29500000000002,1e-09,0.0,1
140.0,0.5,305.01,-295.01,-196.01,1e-09,0.0,1
150.0,0.5,326.725,-316.725,-217.72500000000002,1e-09,0.0,1
160.0,0.5,348.44,-338.44,-239.44,1e-09,0.0,1
170.0,0.5,370.155,-360.155,-261.155,1e-09,0.0,1
180.0,0.5,391.87,-381.87,-282.87,1e-09,0.0,1
190.0,0.5,413.585,-403.585,-304.585,1e-09,0.0,1
200.0,0.5,435.3,-425.3,-326.3,1e-09,0.0,1
210.0,0.5,457.015,-447.015,-348.015,1e-09,0.0,1
220.0,0.5,478.73,-468.73,-369.73,1e-09,0.0,1
230.0,0.5,500.445,-490.445,-391.445,1e-09,0.0,1
240.0,0.5,522.16,-512.16,-413.15999999999997,1e-09,0.0,1
250.0,0.5,543.875,-533.875,-434.875,1e-09,0.0,1
260.0,0.5,565.59,-555.59,-456.59000000000003,1e-09,0.0,1
270.0,0.5,587.305,-577.305,-478.30499999999995,1e-09,0.0,1
280.0,0.5,609.02,-599.02,-500.02,1e-09,0.0,1
290.0,0.5,630.735,-620.735,-521.735,1e-09,0.0,1
300.0,0.5,652.45,-642.45,-543.45,1e-09,0.0,1
310.0,0.5,674.165,-664.165,-565.165,1e-09,0.0,1
320.0,0.5,695.88,-685.88,-586.88,1e-09,0.0,1
330.0,0.5,717.595,-707.595,-608.595,1e-09,0.0,1
340.0,0.5,739.31,-729.31,-630.31,1e-09,0.0,1
350.0,0.5,761.025,-751.025,-652.025,1e-09,0.0,1
360.0,0.5,782.74,-772.74,-673.74,1e-09,0.0,1
370.0,0.5,804.455,-794.455,-695.455,1e-09,0.0,1
380.0,0.5,826.17,-816.17,-717.17,1e-09,0.0,1
390.0,0.5,847.885,-837.885,-738.885,1e-09,0.0,1
400.0,0.5,869.6,-859.6,-760.6,1e-09,0.0,1
410.0,0.5,891.3149999999999,-881.3149999999999,-782.3149999999999,1e-09,0.0,1
420.0,0.5,913.03,-903.03,-804.03,1e-09,0.0,1
430.0,0.5,934.745,-924.745,-825.745,1e-09,0.0,1
440.0,0.5,956.46,-946.46,-847.46,1e-09,0.0,1
450.0,0.5,978.175,-968.175,-869.175,1e-09,0.0,1
460.0,0.5,999.89,-989.89,-890.89,1e-09,0.0,1
470.0,0.5,1021.605,-1011.605,-912.605,1e-09,0.0,1
480.0,0.5,1043.32,-1033.32,-934.3199999999999,1e-09,0.0,1
490.0,0.5,1065.035,-1055.035,-956.0350000000001,1e-09,0.0,1
500.0,0.5,1086.75,-1076.75,-977.75,1e-09,0.0,1
510.0,0.5,1108.465,-1098.465,-999.4649999999999,1e-09,0.0,1
520.0,0.5,1130.18,-1120.18,-1021.1800000000001,1e-09,0.0,1
530.0,0.5,1151.895,-1141.895,-1042.895,1e-09,0.0,1
540.0,0.5,1173.61,-1163.61,-1064.61,1e-09,0.0,1
550.0,0.5,1195.325,-1185.325,-1086.325,1e-09,0.0,1
560.0,0.5,1217.04,-1207.04,-1108.04,1e-09,0.0,1
570.0,0.5,1238.7549999999999,-1228.7549999999999,-1129.7549999999999,1e-09,0.0,1
580.0,0.5,1260.47,-1250.47,-1151.47,1e-09,0.0,1
590.0,0.5,1282.185,-1272.185,-1173.185,1e-09,0.0,1
600.0,0.5,1303.9,-1293.9,-1194.9,1e-09,0.0,1
610.0,0.5,1325.615,-1315.615,-1216.615,1e-09,0.0,1
620.0,0.5,1347.33,-1337.33,-1238.33,1e-09,0.0,1
630.0,0.5,1369.045,-1359.045,-1260.045,1e-09,0.0,1
640.0,0.5,1390.76,-1380.76,-1281.76,1e-09,0.0,1
650.0,0.5,1412.475,-1402.475,-1303.475,1e-09,0.0,1
660.0,0.5,1434.19,-1424.19,-1325.19,1e-09,0.0,1
670.0,0.5,1455.905,-1445.905,-1346.905,1e-09,0.0,1
680.0,0.5,1477.62,-1467.62,-1368.62,1e-09,0.0,1
690.0,0.5,1499.335,-1489.335,-1390.335,1e-09,0.0,1
700.0,0.5,1521.05,-1511.05,-1412.05,1e-09,0.0,1
710.0,0.5,1542.765,-1532.765,-1433.765,1e-09,0.0,1
720.0,0.5,1564.48,-1554.48,-1455.48,1e-09,0.0,1
730.0,0.5,1586.195,-1576.195,-1477.195,1e-09,0.0,1
740.0,0.5,1607.91,-1597.91,-1498.91,1e-09,0.0,1
750.0,0.5,1629.625,-1619.625,-1520.625,1e-09,0.0,1
760.0,0.5,1651.34,-1641.34,-1542.34,1e-09,0.0,1
770.0,0.5,1673.055,-1663.055,-1564.055,1e-09,0.0,1
780.0,0.5,1694.77,-1684.77,-1585.77,1e-09,0.0,1
790.0,0.5,1716.485,-1706.485,-1607.485,1e-09,0.0,1
800.0,0.5,1738.2,-1728.2,-1629.2,1e-09,0.0,1
810.0,0.5,1759.915,-1749.915,-1650.915,1e-09,0.0,1
