distance_m,extinction_per_m,path_loss_dB,Pr_dBm,SNR_dB,Eb_J,capacity_bps,outage_flag_cap
10.0,1.0,44.43,-34.43,64.57,1e-09,214496902.1239061,0
20.0,1.0,87.86,-77.86,21.14,1e-09,70336097.44708629,0
30.0,1.0,131.29,-121.28999999999999,-22.289999999999992,1e-09,84897.72920922034,1
40.0,1.0,174.72,-164.72,-65.72,1e-09,3.865222338362698,1
50.0,1.0,218.15,-208.15,-109.15,1e-09,0.00017545807646588373,1
60.0,1.0,261.58,-251.57999999999998,-152.57999999999998,1e-09,6.406853007629834e-09,1
70.0,1.0,305.01,-295.01,-196.01,1e-09,0.0,1
80.0,1.0,348.44,-338.44,-239.44,1e-09,0.0,1
90.0,1.0,391.87,-381.87,-282.87,1e-09,0.0,1
100.0,1.0,435.3,-425.3,-326.3,1e-09,0.0,1
110.0,1.0,478.73,-468.73,-369.73,1e-09,0.0,1
120.0,1.0,522.16,-512.16,-413.15999999999997,1e-09,0.0,1
130.0,1.0,565.59,-555.59,-456.59000000000003,1e-09,0.0,1
140.0,1.0,609.02,-599.02,-500.02,1e-09,0.0,1
150.0,1.0,652.45,-642.45,-543.45,1e-09,0.0,1
160.0,1.0,695.88,-685.88,-586.88,1e-09,0.0,1
170.0,1.0,739.31,-729.31,-630.31,1e-09,0.0,1
180.0,1.0,782.74,-772.74,-673.74,1e-09,0.0,1
190.0,1.0,826.17,-816.17,-717.17,1e-09,0.0,1
200.0,1.0,869.6,-859.6,-760.6,1e-09,0.0,1
210.0,1.0,913.03,-903.03,-804.03,1e-09,0.0,1
220.0,1.0,956.46,-946.46,-847.46,1e-09,0.0,1
230.0,1.0,999.89,-989.89,-890.89,1e-09,0.0,1
240.0,1.0,1043.32,-1033.32,-934.3199999999999,1e-09,0.0,1
250.0,1.0,1086.75,-1076.75,-977.75,1e-09,0.0,1
260.0,1.0,1130.18,-1120.18,-1021.1800000000001,1e-09,0.0,1
270.0,1.0,1173.61,-1163.61,-1064.61,1e-09,0.0,1
280.0,1.0,1217.04,-1207.04,-1108.04,1e-09,0.0,1
290.0,1.0,1260.47,-1250.47,-1151.47,1e-09,0.0,1
300.0,1.0,1303.9,-1293.9,-1194.9,1e-09,0.0,1
310.0,1.0,1347.33,-1337.33,-1238.33,1e-09,0.0,1
320.0,1.0,1390.76,-1380.76,-1281.76,1e-09,0.0,1
330.0,1.0,1434.19,-1424.19,-1325.19,1e-09,0.0,1
340.0,1.0,1477.62,-1467.62,-1368.62,1e-09,0.0,1
350.0,1.0,1521.05,-1511.05,-1412.05,1e-09,0.0,1
360.0,1.0,1564.48,-1554.48,-1455.48,1e-09,0.0,1
370.0,1.0,1607.91,-1597.91,-1498.91,1e-09,0.0,1
380.0,1.0,1651.34,-1641.34,-1542.34,1e-09,0.0,1
390.0,1.0,1694.77,-1684.77,-1585.77,1e-09,0.0,1
400.0,1.0,1738.2,-1728.2,-1629.2,1e-09,0.0,1
410.0,1.0,1781.6299999999999,-1771.6299999999999,-1672.6299999999999,1e-09,0.0,1
420.0,1.0,1825.06,-1815.06,-1716.06,1e-09,0.0,1
430.0,1.0,1868.49,-1858.49,-1759.49,1e-09,0.0,1
440.0,1.0,1911.92,-1901.92,-1802.92,1e-09,0.0,1
450.0,1.0,1955.35,-1945.35,-1846.35,1e-09,0.0,1
460.0,1.0,1998.78,-1988.78,-1889.78,1e-09,0.0,1
470.0,1.0,2042.21,-2032.21,-1933.21,1e-09,0.0,1
480.0,1.0,2085.64,-2075.64,-1976.6399999999999,1e-09,0.0,1
490.0,1.0,2129.07,-2119.07,-2020.0700000000002,1e-09,0.0,1
500.0,1.0,2172.5,-2162.5,-2063.5,1e-09,0.0,1
510.0,1.0,2215.93,-2205.93,-2106.93,1e-09,0.0,1
520.0,1.0,2259.36,-2249.36,-2150.36,1e-09,0.0,1
530.0,1.0,2302.79,-2292.79,-2193.79,1e-09,0.0,1
540.0,1.0,2346.22,-2336.22,-2237.22,1e-09,0.0,1
550.0,1.0,2389.65,-2379.65,-2280.65,1e-09,0.0,1
560.0,1.0,2433.08,-2423.08,-2324.08,1e-09,0.0,1
570.0,1.0,2476.5099999999998,-2466.5099999999998,-2367.5099999999998,1e-09,0.0,1
580.0,1.0,2519.94,-2509.94,-2410.94,1e-09,0.0,1
590.0,1.0,2563.37,-2553.37,-2454.37,1e-09,0.0,1
600.0,1.0,2606.8,-2596.8,-2497.8,1e-09,0.0,1
610.0,1.0,2650.23,-2640.23,-2541.23,1e-09,0.0,1
620.0,1.0,2693.66,-2683.66,-2584.66,1e-09,0.0,1
630.0,1.0,2737.09,-2727.09,-2628.09,1e-09,0.0,1
640.0,1.0,2780.52,-2770.52,-2671.52,1e-09,0.0,1
650.0,1.0,2823.95,-2813.95,-2714.95,1e-09,0.0,1
660.0,1.0,2867.38,-2857.38,-2758.38,1e-09,0.0,1
670.0,1.0,2910.81,-2900.81,-2801.81,1e-09,0.0,1
680.0,1.0,2954.24,-2944.24,-2845.24,1e-09,0.0,1
690.0,1.0,2997.67,-2987.67,-2888.67,1e-09,0.0,1
700.0,1.0,3041.1,-3031.1,-2932.1,1e-09,0.0,1
710.0,1.0,3084.53,-3074.53,-2975.53,1e-09,0.0,1
720.0,1.0,3127.96,-3117.96,-3018.96,1e-09,0.0,1
730.0,1.0,3171.39,-3161.39,-3062.39,1e-09,0.0,1
740.0,1.0,3214.82,-3204.82,-3105.82,1e-09,0.0,1
750.0,1.0,3258.25,-3248.25,-3149.25,1e-09,0.0,1
760.0,1.0,3301.68,-3291.68,-3192.68,1e-09,0.0,1
770.0,1.0,3345.11,-3335.11,-3236.11,1e-09,0.0,1
780.0,1.0,3388.54,-3378.54,-3279.54,1e-09,0.0,1
790.0,1.0,3431.97,-3421.97,-3322.97,1e-09,0.0,1
800.0,1.0,3475.4,-3465.4,-3366.4,1e-09,0.0,1
810.0,1.0,3518.83,-3508.83,-3409.83,1e-09,0.0,1
820.0,1.0,3562.2599999999998,-3552.2599999999998,-3453.2599999999998,1e-09,0.0,1
830.0,1.0,3605.69,-3595.69,-3496.69,1e-09,0.0,1
840.0,1.0,3649.12,-3639.12,-3540.12,1e-09,0.0,1
850.0,1.0,3692.55,-3682.55,-3583.55,1e-09,0.0,1
860.0,1.0,3735.98,-3725.98,-3626.98,1e-09,0.0,1
870.0,1.0,3779.41,-3769.41,-3670.41,1e-09,0.0,1
880.0,1.0,3822.84,-3812.84,-3713.84,1e-09,0.0,1
890.0,1.0,3866.27,-3856.27,-3757.27,1e-09,0.0,1
900.0,1.0,3909.7,-3899.7,-3800.7,1e-09,0.0,1
910.0,1.0,3953.13,-3943.13,-3844.13,1e-09,0.0,1
920.0,1.0,3996.56,-3986.56,-3887.56,1e-09,0.0,1
930.0,1.0,4039.99,-4029.99,-3930.99,1e-09,0.0,1
940.0,1.0,4083.42,-4073.42,-3974.42,1e-09,0.0,1
950.0,1.0,4126.85,-4116.85,-4017.8500000000004,1e-09,0.0,1
960.0,1.0,4170.28,-4160.28,-4061.2799999999997,1e-09,0.0,1
970.0,1.0,4213.71,-4203.71,-4104.71,1e-09,0.0,1
980.0,1.0,4257.14,-4247.14,-4148.14,1e-09,0.0,1
990.0,1.0,4300.57,-4290.57,-4191.57,1e-09,0.0,1
1000.0,1.0,4344.0,-4334.0,-4235.0,1e-09,0.0,1
1010.0,1.0,4387.43,-4377.43,-4278.43,1e-09,0.0,1
1020.0,1.0,4430.86,-4420.86,-4321.86,1e-09,0.0,1
