distance_m,alpha_Np_per_m,path_loss_dB,Pr_dBm,SNR_dB,Eb_J,capacity_bps,outage_flag_cap
10.0,1.0882796185405306,94.52796766643048,-64.52796766643048,74.47203233356952,0.001,24739.073700743924,0
20.0,1.0882796185405306,189.05593533286097,-159.05593533286097,-20.05593533286097,0.001,14.172487657046357,1
30.0,1.0882796185405306,283.58390299929147,-253.58390299929147,-114.58390299929147,0.001,5.021050702070764e-09,1
40.0,1.0882796185405306,378.11187066572194,-348.11187066572194,-209.11187066572194,0.001,0.0,1
50.0,1.0882796185405306,472.63983833215246,-442.63983833215246,-303.63983833215246,0.001,0.0,1
60.0,1.0882796185405306,567.1678059985829,-537.1678059985829,-398.16780599858293,0.001,0.0,1
70.0,1.0882796185405306,661.6957736650135,-631.6957736650135,-492.69577366501346,0.001,0.0,1
80.0,1.0882796185405306,756.2237413314439,-726.2237413314439,-587.2237413314439,0.001,0.0,1
90.0,1.0882796185405306,850.7517089978744,-820.7517089978744,-681.7517089978744,0.001,0.0,1
100.0,1.0882796185405306,945.2796766643049,-915.2796766643049,-776.2796766643049,0.001,0.0,1
110.0,1.0882796185405306,1039.8076443307355,-1009.8076443307355,-870.8076443307355,0.001,0.0,1
120.0,1.0882796185405306,1134.3356119971659,-1104.3356119971659,-965.3356119971659,0.001,0.0,1
130.0,1.0882796185405306,1228.8635796635963,-1198.8635796635963,-1059.8635796635963,0.001,0.0,1
140.0,1.0882796185405306,1323.391547330027,-1293.391547330027,-1154.391547330027,0.001,0.0,1
150.0,1.0882796185405306,1417.9195149964573,-1387.9195149964573,-1248.9195149964573,0.001,0.0,1
160.0,1.0882796185405306,1512.4474826628878,-1482.4474826628878,-1343.4474826628878,0.001,0.0,1
170.0,1.0882796185405306,1606.9754503293184,-1576.9754503293184,-1437.9754503293184,0.001,0.0,1
180.0,1.0882796185405306,1701.5034179957488,-1671.5034179957488,-1532.5034179957488,0.001,0.0,1
190.0,1.0882796185405306,1796.0313856621792,-1766.0313856621792,-1627.0313856621792,0.001,0.0,1
200.0,1.0882796185405306,1890.5593533286099,-1860.5593533286099,-1721.5593533286099,0.001,0.0,1
210.0,1.0882796185405306,1985.0873209950403,-1955.0873209950403,-1816.0873209950403,0.001,0.0,1
220.0,1.0882796185405306,2079.615288661471,-2049.615288661471,-1910.615288661471,0.001,0.0,1
230.0,1.0882796185405306,2174.1432563279013,-2144.1432563279013,-2005.1432563279013,0.001,0.0,1
240.0,1.0882796185405306,2268.6712239943317,-2238.6712239943317,-2099.6712239943317,0.001,0.0,1
