distance_m,alpha_Np_per_m,path_loss_dB,Pr_dBm,SNR_dB,Eb_J,capacity_bps,outage_flag_cap
10.0,1.4049629462081452,122.0350815076395,-92.0350815076395,46.964918492360496,0.001,15601.437240111407,0
20.0,1.4049629462081452,244.070163015279,-214.070163015279,-75.07016301527901,0.001,4.489089146500783e-05,1
30.0,1.4049629462081452,366.1052445229185,-336.1052445229185,-197.1052445229185,0.001,0.0,1
40.0,1.4049629462081452,488.140326030558,-458.140326030558,-319.140326030558,0.001,0.0,1
50.0,1.4049629462081452,610.1754075381975,-580.1754075381975,-441.17540753819753,0.001,0.0,1
60.0,1.4049629462081452,732.210489045837,-702.210489045837,-563.210489045837,0.001,0.0,1
70.0,1.4049629462081452,854.2455705534765,-824.2455705534765,-685.2455705534765,0.001,0.0,1
80.0,1.4049629462081452,976.280652061116,-946.280652061116,-807.280652061116,0.001,0.0,1
90.0,1.4049629462081452,1098.3157335687556,-1068.3157335687556,-929.3157335687556,0.001,0.0,1
100.0,1.4049629462081452,1220.350815076395,-1190.350815076395,-1051.350815076395,0.001,0.0,1
110.0,1.4049629462081452,1342.3858965840345,-1312.3858965840345,-1173.3858965840345,0.001,0.0,1
120.0,1.4049629462081452,1464.420978091674,-1434.420978091674,-1295.420978091674,0.001,0.0,1
130.0,1.4049629462081452,1586.4560595993134,-1556.4560595993134,-1417.4560595993134,0.001,0.0,1
140.0,1.4049629462081452,1708.491141106953,-1678.491141106953,-1539.491141106953,0.001,0.0,1
150.0,1.4049629462081452,1830.5262226145926,-1800.5262226145926,-1661.5262226145926,0.001,0.0,1
160.0,1.4049629462081452,1952.561304122232,-1922.561304122232,-1783.561304122232,0.001,0.0,1
170.0,1.4049629462081452,2074.5963856298713,-2044.5963856298713,-1905.5963856298713,0.001,0.0,1
180.0,1.4049629462081452,2196.631467137511,-2166.631467137511,-2027.6314671375112,0.001,0.0,1
190.0,1.4049629462081452,2318.6665486451507,-2288.6665486451507,-2149.6665486451507,0.001,0.0,1
200.0,1.4049629462081452,2440.70163015279,-2410.70163015279,-2271.70163015279,0.001,0.0,1
210.0,1.4049629462081452,2562.7367116604296,-2532.7367116604296,-2393.7367116604296,0.001,0.0,1
220.0,1.4049629462081452,2684.771793168069,-2654.771793168069,-2515.771793168069,0.001,0.0,1
230.0,1.4049629462081452,2806.8068746757085,-2776.8068746757085,-2637.8068746757085,0.001,0.0,1
240.0,1.4049629462081452,2928.841956183348,-2898.841956183348,-2759.841956183348,0.001,0.0,1
250.0,1.4049629462081452,3050.8770376909874,-3020.8770376909874,-2881.8770376909874,0.001,0.0,1
260.0,1.4049629462081452,3172.912119198627,-3142.912119198627,-3003.912119198627,0.001,0.0,1
270.0,1.4049629462081452,3294.9472007062664,-3264.9472007062664,-3125.9472007062664,0.001,0.0,1
280.0,1.4049629462081452,3416.982282213906,-3386.982282213906,-3247.982282213906,0.001,0.0,1
290.0,1.4049629462081452,3539.0173637215453,-3509.0173637215453,-3370.0173637215453,0.001,0.0,1
300.0,1.4049629462081452,3661.052445229185,-3631.052445229185,-3492.052445229185,0.001,0.0,1
310.0,1.4049629462081452,3783.0875267368247,-3753.0875267368247,-3614.0875267368247,0.001,0.0,1
320.0,1.4049629462081452,3905.122608244464,-3875.122608244464,-3736.122608244464,0.001,0.0,1
330.0,1.4049629462081452,4027.1576897521036,-3997.1576897521036,-3858.1576897521036,0.001,0.0,1
340.0,1.4049629462081452,4149.192771259743,-4119.192771259743,-3980.1927712597426,0.001,0.0,1
350.0,1.4049629462081452,4271.2278527673825,-4241.2278527673825,-4102.2278527673825,0.001,0.0,1
