distance_m,alpha_Np_per_m,path_loss_dB,Pr_dBm,SNR_dB,Eb_J,capacity_bps,outage_flag_cap
10.0,1.5390597961942367,133.6827338974314,-103.6827338974314,35.317266102568595,0.001,11732.565867890862,0
20.0,1.5390597961942367,267.3654677948628,-237.3654677948628,-98.36546779486281,0.001,2.1019763517225885e-07,1
30.0,1.5390597961942367,401.0482016922942,-371.0482016922942,-232.04820169229419,0.001,0.0,1
40.0,1.5390597961942367,534.7309355897256,-504.7309355897256,-365.7309355897256,0.001,0.0,1
50.0,1.5390597961942367,668.413669487157,-638.413669487157,-499.413669487157,0.001,0.0,1
60.0,1.5390597961942367,802.0964033845884,-772.0964033845884,-633.0964033845884,0.001,0.0,1
70.0,1.5390597961942367,935.7791372820197,-905.7791372820197,-766.7791372820197,0.001,0.0,1
80.0,1.5390597961942367,1069.4618711794512,-1039.4618711794512,-900.4618711794512,0.001,0.0,1
90.0,1.5390597961942367,1203.1446050768825,-1173.1446050768825,-1034.1446050768825,0.001,0.0,1
100.0,1.5390597961942367,1336.827338974314,-1306.827338974314,-1167.827338974314,0.001,0.0,1
110.0,1.5390597961942367,1470.5100728717453,-1440.5100728717453,-1301.5100728717453,0.001,0.0,1
120.0,1.5390597961942367,1604.1928067691767,-1574.1928067691767,-1435.1928067691767,0.001,0.0,1
130.0,1.5390597961942367,1737.8755406666082,-1707.8755406666082,-1568.8755406666082,0.001,0.0,1
140.0,1.5390597961942367,1871.5582745640395,-1841.5582745640395,-1702.5582745640395,0.001,0.0,1
150.0,1.5390597961942367,2005.241008461471,-1975.241008461471,-1836.241008461471,0.001,0.0,1
160.0,1.5390597961942367,2138.9237423589025,-2108.9237423589025,-1969.9237423589025,0.001,0.0,1
170.0,1.5390597961942367,2272.6064762563337,-2242.6064762563337,-2103.6064762563337,0.001,0.0,1
180.0,1.5390597961942367,2406.289210153765,-2376.289210153765,-2237.289210153765,0.001,0.0,1
190.0,1.5390597961942367,2539.9719440511963,-2509.9719440511963,-2370.9719440511963,0.001,0.0,1
200.0,1.5390597961942367,2673.654677948628,-2643.654677948628,-2504.654677948628,0.001,0.0,1
210.0,1.5390597961942367,2807.3374118460592,-2777.3374118460592,-2638.3374118460592,0.001,0.0,1
220.0,1.5390597961942367,2941.0201457434905,-2911.0201457434905,-2772.0201457434905,0.001,0.0,1
230.0,1.5390597961942367,3074.702879640922,-3044.702879640922,-2905.702879640922,0.001,0.0,1
240.0,1.5390597961942367,3208.3856135383535,-3178.3856135383535,-3039.3856135383535,0.001,0.0,1
250.0,1.5390597961942367,3342.0683474357847,-3312.0683474357847,-3173.0683474357847,0.001,0.0,1
260.0,1.5390597961942367,3475.7510813332165,-3445.7510813332165,-3306.7510813332165,0.001,0.0,1
270.0,1.5390597961942367,3609.4338152306477,-3579.4338152306477,-3440.4338152306477,0.001,0.0,1
