distance_m,FSPL_dB,gas_absorption_dB,total_loss_dB,SNR_dB,Eb_J,capacity_bps,outage_flag_cap
10.0,101.99242509439324,0.057999999999999996,102.05042509439325,-23.040125137753435,1.0000000000000001e-11,35731886.72386637,1
20.0,108.01302500767287,0.11599999999999999,108.12902500767287,-29.118725051033053,1.0000000000000001e-11,8830924.540040469,1
30.0,111.53485018878649,0.174,111.7088501887865,-32.69855023214669,1.0000000000000001e-11,3874118.4255839353,1
40.0,114.03362492095249,0.23199999999999998,114.26562492095249,-35.25532496431268,1.0000000000000001e-11,2150538.9241974503,1
50.0,115.97182518111362,0.29,116.26182518111362,-37.25152522447381,1.0000000000000001e-11,1358160.6249755053,1
60.0,117.55545010206612,0.348,117.90345010206612,-38.893150145426304,1.0000000000000001e-11,930682.4235815664,1
70.0,118.89438589467835,0.406,119.30038589467836,-40.290085938038544,1.0000000000000001e-11,674707.6566556469,1
80.0,120.05422483423212,0.46399999999999997,120.51822483423211,-41.5079248775923,1.0000000000000001e-11,509725.91150920355,1
90.0,121.07727528317974,0.522,121.59927528317975,-42.58897532653994,1.0000000000000001e-11,397406.5743746413,1
100.0,121.99242509439324,0.58,122.57242509439324,-43.562125137753426,1.0000000000000001e-11,317630.6971771079,1
110.0,122.82027879755776,0.638,123.45827879755777,-44.447978840917955,1.0000000000000001e-11,259023.31773606208,1
120.0,123.57605001534574,0.696,124.27205001534574,-45.26175005870593,1.0000000000000001e-11,214764.78538441146,1
130.0,124.27129214052997,0.754,125.02529214052997,-46.01499218389016,1.0000000000000001e-11,180567.62643189926,1
140.0,124.91498580795798,0.812,125.72698580795797,-46.71668585131816,1.0000000000000001e-11,153628.33843682494,1
150.0,125.51425027550687,0.87,126.38425027550687,-47.37395031886706,1.0000000000000001e-11,132052.1681491663,1
160.0,126.07482474751174,0.9279999999999999,127.00282474751174,-47.992524790871926,1.0000000000000001e-11,114521.91900773795,1
170.0,126.60140352195873,0.986,127.58740352195873,-48.57710356531892,1.0000000000000001e-11,100099.33065991325,1
180.0,127.09787519645937,1.044,128.14187519645938,-49.13157523981957,1.0000000000000001e-11,88101.7159435042,1
190.0,127.5674971134498,1.1019999999999999,128.6694971134498,-49.659197156809995,1.0000000000000001e-11,78022.9701552902,1
200.0,128.01302500767287,1.16,129.17302500767286,-50.16272505103305,1.0000000000000001e-11,69481.62174242453,1
210.0,128.4368109890716,1.218,129.6548109890716,-50.64451103243178,1.0000000000000001e-11,62185.849014394,1
220.0,128.8408787108374,1.276,130.1168787108374,-51.106578754197585,1.0000000000000001e-11,55909.419728089524,1
230.0,129.2269818147451,1.334,130.5609818147451,-51.55068185810529,1.0000000000000001e-11,50474.82687632476,1
240.0,129.59664992862537,1.392,130.98864992862536,-51.97834997198555,1.0000000000000001e-11,45741.26479410577,1
250.0,129.951225267834,1.45,131.40122526783398,-52.39092531119417,1.0000000000000001e-11,41595.92246469486,1
260.0,130.2918920538096,1.508,131.7998920538096,-52.78959209716979,1.0000000000000001e-11,37947.58926513121,1
270.0,130.619700377573,1.566,132.185700377573,-53.17540042093319,1.0000000000000001e-11,34721.89792069533,1
280.0,130.9355857212376,1.624,132.5595857212376,-53.549285764597784,1.0000000000000001e-11,31857.74324803581,1
290.0,131.24038505237235,1.682,132.92238505237233,-53.91208509573252,1.0000000000000001e-11,29304.556397220258,1
300.0,131.5348501887865,1.74,133.2748501887865,-54.26455023214669,1.0000000000000001e-11,27020.20916996993,1
310.0,131.8196589710787,1.798,133.6176589710787,-54.607359014438885,1.0000000000000001e-11,24969.387556039157,1
320.0,132.09542466079137,1.8559999999999999,133.95142466079136,-54.94112470415155,1.0000000000000001e-11,23122.318377692845,1
330.0,132.362703891951,1.914,134.276703891951,-55.26640393531119,1.0000000000000001e-11,21453.7642490606,1
