distance_m,FSPL_dB,gas_absorption_dB,total_loss_dB,SNR_dB,Eb_J,capacity_bps,outage_flag_cap
10.0,101.99242509439324,0.064,102.05642509439323,-23.04612513775342,1.0000000000000001e-11,35682677.19460928,1
20.0,108.01302500767287,0.128,108.14102500767287,-29.130725051033053,1.0000000000000001e-11,8806572.34185511,1
30.0,111.53485018878649,0.192,111.72685018878649,-32.71655023214667,1.0000000000000001e-11,3858099.06187677,1
40.0,114.03362492095249,0.256,114.28962492095249,-35.27932496431268,1.0000000000000001e-11,2138689.1408196585,1
50.0,115.97182518111362,0.32000000000000006,116.29182518111361,-37.281525224473796,1.0000000000000001e-11,1348811.9870519284,1
60.0,117.55545010206612,0.384,117.93945010206612,-38.929150145426306,1.0000000000000001e-11,923000.0900166347,1
70.0,118.89438589467835,0.44800000000000006,119.34238589467834,-40.33208593803853,1.0000000000000001e-11,668214.4055977466,1
80.0,120.05422483423212,0.512,120.56622483423212,-41.555924877592304,1.0000000000000001e-11,504123.4268997581,1
90.0,121.07727528317974,0.576,121.65327528317974,-42.642975326539926,1.0000000000000001e-11,392495.96398529183,1
100.0,121.99242509439324,0.6400000000000001,122.63242509439324,-43.62212513775343,1.0000000000000001e-11,313272.7352644763,1
110.0,122.82027879755776,0.7040000000000001,123.52427879755776,-44.51397884091794,1.0000000000000001e-11,255116.7533603473,1
120.0,123.57605001534574,0.768,124.34405001534574,-45.33375005870593,1.0000000000000001e-11,211233.68656069835,1
130.0,124.27129214052997,0.8320000000000001,125.10329214052996,-46.092992183890146,1.0000000000000001e-11,177353.59086080804,1
140.0,124.91498580795798,0.8960000000000001,125.81098580795798,-46.800685851318164,1.0000000000000001e-11,150685.48561979824,1
150.0,125.51425027550687,0.96,126.47425027550686,-47.46395031886705,1.0000000000000001e-11,129343.80053605603,1
160.0,126.07482474751174,1.024,127.09882474751174,-48.08852479087193,1.0000000000000001e-11,112018.22639310201,1
170.0,126.60140352195873,1.088,127.68940352195872,-48.67910356531891,1.0000000000000001e-11,97775.7696930086,1
180.0,127.09787519645937,1.152,128.24987519645936,-49.239575239819544,1.0000000000000001e-11,85937.83971979178,1
190.0,127.5674971134498,1.2160000000000002,128.7834971134498,-49.77319715681,1.0000000000000001e-11,76001.5657888814,1
