distance_m,FSPL_dB,gas_absorption_dB,total_loss_dB,SNR_dB,Eb_J,capacity_bps,outage_flag_cap
10.0,101.99242509439324,0.069,102.06142509439324,-23.05112513775343,1.0000000000000001e-11,35641720.899067946,1
20.0,108.01302500767287,0.138,108.15102500767287,-29.14072505103306,1.0000000000000001e-11,8786330.117982838,1
30.0,111.53485018878649,0.207,111.74185018878649,-32.731550232146674,1.0000000000000001e-11,3844800.189959654,1
40.0,114.03362492095249,0.276,114.30962492095249,-35.299324964312675,1.0000000000000001e-11,2128864.206656571,1
50.0,115.97182518111362,0.34500000000000003,116.31682518111361,-37.3065252244738,1.0000000000000001e-11,1341070.625622411,1
60.0,117.55545010206612,0.414,117.96945010206612,-38.95915014542631,1.0000000000000001e-11,916646.6057787929,1
70.0,118.89438589467835,0.4830000000000001,119.37738589467835,-40.36708593803854,1.0000000000000001e-11,662851.1216702472,1
80.0,120.05422483423212,0.552,120.60622483423212,-41.59592487759231,1.0000000000000001e-11,499501.7555575002,1
90.0,121.07727528317974,0.621,121.69827528317974,-42.68797532653993,1.0000000000000001e-11,388450.17109227064,1
100.0,121.99242509439324,0.6900000000000001,122.68242509439324,-43.672125137753426,1.0000000000000001e-11,309686.8088923812,1
110.0,122.82027879755776,0.759,123.57927879755776,-44.56897884091795,1.0000000000000001e-11,251906.32726574063,1
120.0,123.57605001534574,0.828,124.40405001534575,-45.39375005870593,1.0000000000000001e-11,208335.4935800247,1
130.0,124.27129214052997,0.8970000000000001,125.16829214052997,-46.15799218389016,1.0000000000000001e-11,174718.97182531544,1
140.0,124.91498580795798,0.9660000000000002,125.88098580795797,-46.87068585131816,1.0000000000000001e-11,148276.21608881158,1
150.0,125.51425027550687,1.035,126.54925027550686,-47.53895031886705,1.0000000000000001e-11,127129.3084136052,1
160.0,126.07482474751174,1.104,127.17882474751174,-48.16852479087193,1.0000000000000001e-11,109973.67892636117,1
170.0,126.60140352195873,1.173,127.77440352195873,-48.76410356531892,1.0000000000000001e-11,95880.723051464,1
180.0,127.09787519645937,1.242,128.33987519645936,-49.32957523981955,1.0000000000000001e-11,84175.2636568835,1
190.0,127.5674971134498,1.3110000000000002,128.8784971134498,-49.86819715681,1.0000000000000001e-11,74357.12494939657,1
200.0,128.01302500767287,1.3800000000000001,129.39302500767286,-50.38272505103305,1.0000000000000001e-11,66049.57841130378,1
210.0,128.4368109890716,1.449,129.88581098907162,-50.8755110324318,1.0000000000000001e-11,58964.64185543661,1
220.0,128.8408787108374,1.518,130.3588787108374,-51.348578754197575,1.0000000000000001e-11,52879.22433759999,1
230.0,129.2269818147451,1.5870000000000002,130.8139818147451,-51.80368185810528,1.0000000000000001e-11,47618.41372778358,1
240.0,129.59664992862537,1.656,131.25264992862537,-52.24234997198556,1.0000000000000001e-11,43043.56664588449,1
250.0,129.951225267834,1.725,131.67622526783398,-52.66592531119417,1.0000000000000001e-11,39043.68828687078,1
260.0,130.2918920538096,1.7940000000000003,132.0858920538096,-53.07559209716979,1.0000000000000001e-11,35529.10471818714,1
270.0,130.619700377573,1.8630000000000002,132.482700377573,-53.472400420933184,1.0000000000000001e-11,32426.757597347518,1
280.0,130.9355857212376,1.9320000000000004,132.8675857212376,-53.857285764597776,1.0000000000000001e-11,29676.663578815198,1
290.0,131.24038505237235,2.001,133.24138505237235,-54.23108509573254,1.0000000000000001e-11,27229.22082668696,1
300.0,131.5348501887865,2.07,133.6048501887865,-54.59455023214667,1.0000000000000001e-11,25043.139125659254,1
310.0,131.8196589710787,2.1390000000000002,133.9586589710787,-54.94835901443889,1.0000000000000001e-11,23083.834234349695,1
320.0,132.09542466079137,2.208,134.30342466079136,-55.29312470415155,1.0000000000000001e-11,21322.171442269377,1
330.0,132.362703891951,2.277,134.639703891951,-55.62940393531119,1.0000000000000001e-11,19733.474360362132,1
340.0,132.62200343523835,2.346,134.96800343523836,-55.957703478598546,1.0000000000000001e-11,18296.73696401972,1
350.0,132.87378598139873,2.415,135.28878598139872,-56.278486024758905,1.0000000000000001e-11,16993.99277343515,1
360.0,133.118475109739,2.484,135.602475109739,-56.59217515309919,1.0000000000000001e-11,15809.80641028491,1
370.0,133.35645957573314,2.553,135.90945957573314,-56.899159619093325,1.0000000000000001e-11,14730.861216881718,1
380.0,133.58809702672943,2.6220000000000003,136.21009702672944,-57.19979707008963,1.0000000000000001e-11,13745.622814364633,1
390.0,133.81371723492322,2.6910000000000003,136.50471723492322,-57.49441727828341,1.0000000000000001e-11,12844.06305084938,1
400.0,134.0336249209525,2.7600000000000002,136.79362492095248,-57.78332496431267,1.0000000000000001e-11,12017.43232374443,1
410.0,134.24810222878796,2.829,137.07710222878796,-58.06680227214815,1.0000000000000001e-11,11258.070842331483,1
420.0,134.45741090235123,2.898,137.35541090235122,-58.34511094571141,1.0000000000000001e-11,10559.251422826834,1
430.0,134.66179420598496,2.967,137.62879420598497,-58.61849424934516,1.0000000000000001e-11,9915.047974579944,1
440.0,134.861478624117,3.036,137.897478624117,-58.8871786674772,1.0000000000000001e-11,9320.22498286622,1
450.0,135.05667536990012,3.1050000000000004,138.1616753699001,-59.1513754132603,1.0000000000000001e-11,8770.14427716366,1
460.0,135.24758172802473,3.1740000000000004,138.42158172802473,-59.41128177138492,1.0000000000000001e-11,8260.686059322217,1
470.0,135.43438225310757,3.243,138.67738225310757,-59.667082296467754,1.0000000000000001e-11,7788.181773073369,1
480.0,135.617249841905,3.312,138.929249841905,-59.91894988526519,1.0000000000000001e-11,7349.356822375201,1
490.0,135.79634669496352,3.3810000000000002,139.17734669496352,-60.167046738323705,1.0000000000000001e-11,6941.28155131575,1
500.0,135.97182518111362,3.45,139.4218251811136,-60.41152522447379,1.0000000000000001e-11,6561.329128939528,1
510.0,136.14382861635198,3.519,139.662828616352,-60.652528659712175,1.0000000000000001e-11,6207.139280277251,1
520.0,136.31249196708922,3.5880000000000005,139.9004919670892,-60.8901920104494,1.0000000000000001e-11,5876.586936196693,1
530.0,136.477942486409,3.6570000000000005,140.13494248640902,-61.124642529769204,1.0000000000000001e-11,5567.755078108041,1
540.0,136.64030029085262,3.7260000000000004,140.36630029085262,-61.35600033421281,1.0000000000000001e-11,5278.911132039464,1
550.0,136.79967888427814,3.7950000000000004,140.59467888427812,-61.58437892763831,1.0000000000000001e-11,5008.486410751604,1
560.0,136.95618563451723,3.8640000000000008,140.82018563451723,-61.80988567787742,1.0000000000000001e-11,4755.058150610044,1
570.0,137.10992220784306,3.933,141.04292220784305,-62.032622251203236,1.0000000000000001e-11,4517.33379084201,1
580.0,137.26098496565197,4.002,141.26298496565198,-62.25268500901217,1.0000000000000001e-11,4294.137168430355,1
590.0,137.40946532723615,4.071,141.48046532723615,-62.470165370596334,1.0000000000000001e-11,4084.396386788179,1
600.0,137.55545010206612,4.14,141.6954501020661,-62.68515014542629,1.0000000000000001e-11,3887.133100339952,1
610.0,137.6990217946086,4.2090000000000005,141.9080217946086,-62.89772183796879,1.0000000000000001e-11,3701.453075661407,1
620.0,137.84025888435832,4.2780000000000005,142.1182588843583,-63.1079589277185,1.0000000000000001e-11,3526.537808142953,1
630.0,137.97923608346485,4.347,142.32623608346486,-63.31593612682505,1.0000000000000001e-11,3361.6371108883736,1
640.0,138.116024574071,4.416,142.532024574071,-63.521724617431175,1.0000000000000001e-11,3206.0625044663034,1
650.0,138.25069222725034,4.485,142.73569222725035,-63.72539227061054,1.0000000000000001e-11,3059.181357861945,1
660.0,138.38330380523064,4.554,142.93730380523064,-63.92700384859083,1.0000000000000001e-11,2920.411638077106,1
670.0,138.5139211484098,4.623,143.13692114840978,-64.12662119176997,1.0000000000000001e-11,2789.217234742977,1
680.0,138.64260334851798,4.692,143.334603348518,-64.32430339187817,1.0000000000000001e-11,2665.1037716517876,1
690.0,138.76940690913835,4.761,143.53040690913835,-64.52010695249854,1.0000000000000001e-11,2547.614847545961,1
700.0,138.89438589467835,4.83,143.72438589467836,-64.71408593803855,1.0000000000000001e-11,2436.3286709273293,1
710.0,139.01759206877472,4.899,143.91659206877472,-64.9062921121349,1.0000000000000001e-11,2330.8550248180754,1
720.0,139.13907502301862,4.968,144.1070750230186,-65.0967750663788,1.0000000000000001e-11,2230.832534244466,1
730.0,139.25888229680237,5.037,144.29588229680238,-65.28558234016256,1.0000000000000001e-11,2135.9262092143877,1
740.0,139.37705948901277,5.106,144.48305948901276,-65.47275953237295,1.0000000000000001e-11,2045.8252215442747,1
750.0,139.49365036222724,5.175000000000001,144.66865036222725,-65.65835040558744,1.0000000000000001e-11,1960.240888306402,1
760.0,139.60869694000905,5.244000000000001,144.85269694000905,-65.84239698336924,1.0000000000000001e-11,1878.9048538880736,1
770.0,139.72223959784287,5.313000000000001,145.03523959784286,-66.02493964120305,1.0000000000000001e-11,1801.5674434336481,1
780.0,139.83431714820284,5.382000000000001,145.21631714820285,-66.20601719156303,1.0000000000000001e-11,1727.9961556352162,1
790.0,139.9449669202021,5.4510000000000005,145.39596692020208,-66.38566696356227,1.0000000000000001e-11,1657.9743108890991,1
800.0,140.05422483423212,5.5200000000000005,145.57422483423213,-66.56392487759231,1.0000000000000001e-11,1591.2997971565583,1
810.0,140.16212547196625,5.589,145.75112547196625,-66.74082551532643,1.0000000000000001e-11,1527.7839583767084,1
820.0,140.26870214206758,5.658,145.92670214206757,-66.91640218542776,1.0000000000000001e-11,1467.2505485494523,1
830.0,140.37398694191472,5.727,146.10098694191473,-67.09068698527491,1.0000000000000001e-11,1409.5347995398472,1
840.0,140.47801081563085,5.796,146.27401081563085,-67.26371085899103,1.0000000000000001e-11,1354.48255775597,1
850.0,140.5808036086791,5.865,146.4458036086791,-67.4355036520393,1.0000000000000001e-11,1301.9494993105777,1
860.0,140.6823941192646,5.934,146.61639411926458,-67.60609416262477,1.0000000000000001e-11,1251.8004092511617,1
870.0,140.7828101467656,6.003,146.78581014676558,-67.77551019012577,1.0000000000000001e-11,1203.9085200532797,1
880.0,140.88207853739664,6.072,146.95407853739664,-67.94377858075683,1.0000000000000001e-11,1158.1549029703178,1
890.0,140.9802252272915,6.141,147.1212252272915,-68.11092527065168,1.0000000000000001e-11,1114.427917044841,1
900.0,141.07727528317974,6.210000000000001,147.28727528317975,-68.27697532653994,1.0000000000000001e-11,1072.6226869507052,1
910.0,141.17325294081513,6.279000000000001,147.45225294081513,-68.44195298417532,1.0000000000000001e-11,1032.6406417001986,1
920.0,141.26818164130435,6.348000000000001,147.61618164130437,-68.60588168466455,1.0000000000000001e-11,994.3890757751103,1
930.0,141.36208406547195,6.417000000000001,147.77908406547195,-68.76878410883214,1.0000000000000001e-11,957.7807486988617,1
940.0,141.4549821663872,6.486,147.9409821663872,-68.93068220974737,1.0000000000000001e-11,922.733513439429,1
950.0,141.54689720017018,6.555,148.10189720017019,-69.09159724353037,1.0000000000000001e-11,889.1699816516268,1
960.0,141.63784975518462,6.624,148.2618497551846,-69.2515497985448,1.0000000000000001e-11,857.017198529636,1
970.0,141.72785977971813,6.6930000000000005,148.42085977971814,-69.41055982307833,1.0000000000000001e-11,826.2063641091788,1
980.0,141.81694660824314,6.7620000000000005,148.57894660824314,-69.56864665160333,1.0000000000000001e-11,796.6725513662425,1
990.0,141.90512898634427,6.831,148.73612898634426,-69.72582902970444,1.0000000000000001e-11,768.3544611551783,1
1000.0,141.99242509439324,6.9,148.89242509439325,-69.88212513775343,1.0000000000000001e-11,741.1941915621975,1
1010.0,142.07885257004608,6.969,149.04785257004608,-70.03755261340626,1.0000000000000001e-11,715.137020072552,1
1020.0,142.1644285296316,7.038,149.20242852963162,-70.1921285729918,1.0000000000000001e-11,690.1312049582571,1
1030.0,142.24916958849667,7.107,149.35616958849667,-70.34586963185686,1.0000000000000001e-11,666.1278026829274,1
1040.0,142.33309188036884,7.176000000000001,149.50909188036883,-70.49879192372902,1.0000000000000001e-11,643.0804869083154,1
1050.0,142.41621107579198,7.245000000000001,149.66121107579198,-70.65091111915217,1.0000000000000001e-11,620.9453979333836,1
1060.0,142.49854239968863,7.314000000000001,149.81254239968862,-70.80224244304881,1.0000000000000001e-11,599.6809889299427,1
1070.0,142.5801006480974,7.383000000000001,149.96310064809742,-70.95280069145761,1.0000000000000001e-11,579.2478849919829,1
1080.0,142.66090020413225,7.452000000000001,150.11290020413225,-71.10260024749243,1.0000000000000001e-11,559.6087566004159,1
1090.0,142.7409550532057,7.521000000000001,150.26195505320572,-71.25165509656591,1.0000000000000001e-11,540.7281978929468,1
1100.0,142.82027879755776,7.590000000000001,150.41027879755777,-71.39997884091795,1.0000000000000001e-11,522.5726113407947,1
1110.0,142.8988846701264,7.659000000000001,150.55788467012638,-71.54758471348657,1.0000000000000001e-11,505.11010523910767,1
1120.0,142.97678554779685,7.7280000000000015,150.70478554779686,-71.69448559115705,1.0000000000000001e-11,488.3103944008025,1
1130.0,143.05399396406165,7.797,150.85099396406164,-71.84069400742183,1.0000000000000001e-11,472.1447104606755,1
1140.0,143.13052212112268,7.866,150.99652212112267,-71.98622216448285,1.0000000000000001e-11,456.5857073743705,1
1150.0,143.20638190146548,7.935,151.14138190146548,-72.13108194482567,1.0000000000000001e-11,441.60739254475254,1
1160.0,143.2815848789316,8.004,151.2855848789316,-72.27528492229177,1.0000000000000001e-11,427.18504353285977,1
1170.0,143.35614232931647,8.073,151.42914232931648,-72.41884237267666,1.0000000000000001e-11,413.29513598084407,1
1180.0,143.43006524051577,8.142,151.57206524051577,-72.56176528387596,1.0000000000000001e-11,399.91528434861357,1
1190.0,143.50336432224384,8.211,151.71436432224385,-72.70406436560404,1.0000000000000001e-11,387.02417624362016,1
1200.0,143.57605001534574,8.28,151.85605001534574,-72.84575005870593,1.0000000000000001e-11,374.60151155578365,1
1210.0,143.64813250072223,8.349,151.99713250072222,-72.9868325440824,1.0000000000000001e-11,362.627952804406,1
1220.0,143.71962170788822,8.418000000000001,152.13762170788823,-73.12732175124842,1.0000000000000001e-11,351.08506747651796,1
1230.0,143.7905273231812,8.487,152.2775273231812,-73.26722736654139,1.0000000000000001e-11,339.9552847806416,1
1240.0,143.86085879763795,8.556000000000001,152.41685879763796,-73.40655884099814,1.0000000000000001e-11,329.22184919712566,1
1250.0,143.93062535455437,8.625,152.55562535455437,-73.54532539791455,1.0000000000000001e-11,318.86877563019186,1
1260.0,143.99983599674448,8.694,152.69383599674447,-73.68353604010466,1.0000000000000001e-11,308.8808109668333,1
1270.0,144.0684995135124,8.763,152.8314995135124,-73.82119955687259,1.0000000000000001e-11,299.243398839137,1
1280.0,144.13662448735062,8.832,152.9686244873506,-73.9583245307108,1.0000000000000001e-11,289.9426347763272,1
1290.0,144.2042193003782,8.901000000000002,153.10521930037822,-74.09491934373841,1.0000000000000001e-11,280.9652437807913,1
1300.0,144.27129214052997,8.97,153.24129214052996,-74.23099218389015,1.0000000000000001e-11,272.2985418869737,1
1310.0,144.3378510075085,9.039000000000001,153.3768510075085,-74.36655105086868,1.0000000000000001e-11,263.9304089322604,1
1320.0,144.40390371851026,9.108,153.51190371851027,-74.50160376187046,1.0000000000000001e-11,255.84925652272398,1
1330.0,144.46945791373497,9.177000000000001,153.64645791373496,-74.63615795709515,1.0000000000000001e-11,248.04400721085972,1
1340.0,144.53452106168942,9.246,153.78052106168943,-74.77022110504961,1.0000000000000001e-11,240.50406726646833,1
1350.0,144.59910046429337,9.315000000000001,153.91410046429337,-74.90380050765356,1.0000000000000001e-11,233.2192994475381,1
1360.0,144.6632032617976,9.384,154.04720326179762,-75.03690330515781,1.0000000000000001e-11,226.18000377969287,1
1370.0,144.7268364375214,9.453000000000001,154.1798364375214,-75.16953648088159,1.0000000000000001e-11,219.3768967339254,1
1380.0,144.79000682241798,9.522,154.31200682241797,-75.30170686577816,1.0000000000000001e-11,212.80109040433143,1
1390.0,144.85272109947516,9.591,154.44372109947517,-75.43342114283536,1.0000000000000001e-11,206.44407488926865,1
1400.0,144.91498580795798,9.66,154.57498580795797,-75.56468585131816,1.0000000000000001e-11,200.29769586737658,1
1410.0,144.97680734750082,9.729,154.7058073475008,-75.695507390861,1.0000000000000001e-11,194.35414178387447,1
1420.0,145.03819198205434,9.798,154.83619198205434,-75.82589202541453,1.0000000000000001e-11,188.60592623172005,1
1430.0,145.0991458436945,9.867,154.96614584369448,-75.95584588705466,1.0000000000000001e-11,183.0458767396203,1
1440.0,145.15967493629825,9.936,155.09567493629825,-76.08537497965844,1.0000000000000001e-11,177.66711074633628,1
1450.0,145.21978513909272,10.005,155.22478513909272,-76.2144851824529,1.0000000000000001e-11,172.46303239725998,1
1460.0,145.279482210082,10.074,155.353482210082,-76.3431822534422,1.0000000000000001e-11,167.4273149255713,1
1470.0,145.33877178935677,10.143,155.48177178935677,-76.47147183271696,1.0000000000000001e-11,162.55388623682157,1
1480.0,145.3976594022924,10.212,155.60965940229238,-76.59935944565257,1.0000000000000001e-11,157.83691929865694,1
1490.0,145.45615046263873,10.281,155.73715046263874,-76.72685050599893,1.0000000000000001e-11,153.27082253054064,1
1500.0,145.51425027550687,10.350000000000001,155.86425027550686,-76.85395031886705,1.0000000000000001e-11,148.85022859176277,1
1510.0,145.5719640402566,10.419,155.9909640402566,-76.9806640836168,1.0000000000000001e-11,144.56998316944956,1
1520.0,145.62929685328868,10.488000000000001,156.11729685328868,-77.10699689664887,1.0000000000000001e-11,140.42513536828557,1
1530.0,145.68625371074523,10.557,156.24325371074522,-77.23295375410541,1.0000000000000001e-11,136.410928100236,1
1540.0,145.7428395111225,10.626000000000001,156.3688395111225,-77.35853955448269,1.0000000000000001e-11,132.52279327940838,1
1550.0,145.79905905779907,10.695,156.49405905779906,-77.48375910115925,1.0000000000000001e-11,128.75634221177475,1
1560.0,145.85491706148247,10.764000000000001,156.61891706148248,-77.60861710484266,1.0000000000000001e-11,125.10735117975365,1
1570.0,145.9104181425779,10.833,156.7434181425779,-77.73311818593808,1.0000000000000001e-11,121.57176464563786,1
1580.0,145.96556683348172,10.902000000000001,156.8675668334817,-77.85726687684189,1.0000000000000001e-11,118.14568083617641,1
1590.0,146.02036758080226,10.971000000000002,156.99136758080226,-77.98106762416245,1.0000000000000001e-11,114.82535014086228,1
1600.0,146.07482474751174,11.040000000000001,157.11482474751173,-78.10452479087192,1.0000000000000001e-11,111.60716069651437,1
1610.0,146.1289426150302,11.109000000000002,157.23794261503022,-78.22764265839041,1.0000000000000001e-11,108.48764319241789,1
1620.0,146.18272538524587,11.178,157.36072538524587,-78.35042542860606,1.0000000000000001e-11,105.46345485319301,1
1630.0,146.23617718247237,11.247,157.4831771824724,-78.47287722583258,1.0000000000000001e-11,102.53138424393522,1
1640.0,146.2893020553472,11.316,157.6053020553472,-78.5950020987074,1.0000000000000001e-11,99.68833204965722,1
1650.0,146.34210397867133,11.385,157.72710397867132,-78.71680402203151,1.0000000000000001e-11,96.93132228728221,1
1660.0,146.39458685519435,11.454,157.84858685519436,-78.83828689855454,1.0000000000000001e-11,94.25748628851218,1
1670.0,146.4467545173449,11.523,157.9697545173449,-78.9594545607051,1.0000000000000001e-11,91.66405949640195,1
1680.0,146.49861072891048,11.592,158.0906107289105,-79.08031077227068,1.0000000000000001e-11,89.14838146535972,1
1690.0,146.5501591866667,11.661,158.2111591866667,-79.20085923002688,1.0000000000000001e-11,86.70788945429456,1
1700.0,146.60140352195873,11.73,158.33140352195872,-79.32110356531891,1.0000000000000001e-11,84.34011362147726,1
1710.0,146.6523473022363,11.799,158.45134730223631,-79.4410473455965,1.0000000000000001e-11,82.04267382111414,1
1720.0,146.7029940325442,11.868,158.5709940325442,-79.5606940759044,1.0000000000000001e-11,79.81327479820779,1
