distance_m,FSPL_dB,path_loss_dB,Pr_dBm,SNR_dB,Capacity_bps
10.0,101.99020831627662,1101.9902083162767,-1101.9902083162767,-1013.9902083162767,0.0
20.0,108.01080822955625,2108.0108082295565,-2108.0108082295565,-2020.0108082295565,0.0
30.0,111.53263341066987,3111.53263341067,-3111.53263341067,-3023.53263341067,0.0
40.0,114.03140814283587,4114.031408142836,-4114.031408142836,-4026.031408142836,0.0
50.0,115.969608402997,5115.969608402997,-5115.969608402997,-5027.969608402997,0.0
60.0,117.5532333239495,6117.55323332395,-6117.55323332395,-6029.55323332395,0.0
70.0,118.89216911656176,7118.8921691165615,-7118.8921691165615,-7030.8921691165615,0.0
80.0,120.0520080561155,8120.0520080561155,-8120.0520080561155,-8032.0520080561155,0.0
90.0,121.07505850506313,9121.075058505063,-9121.075058505063,-9033.075058505063,0.0
100.0,121.99020831627662,10121.990208316276,-10121.990208316276,-10033.990208316276,0.0
110.0,122.81806201944113,11122.818062019442,-11122.818062019442,-11034.818062019442,0.0
120.0,123.57383323722912,12123.57383323723,-12123.57383323723,-12035.57383323723,0.0
130.0,124.26907536241336,13124.269075362414,-13124.269075362414,-13036.269075362414,0.0
140.0,124.91276902984139,14124.912769029841,-14124.912769029841,-14036.912769029841,0.0
150.0,125.51203349739025,15125.51203349739,-15125.51203349739,-15037.51203349739,0.0
160.0,126.07260796939512,16126.072607969396,-16126.072607969396,-16038.072607969396,0.0
170.0,126.5991867438421,17126.599186743842,-17126.599186743842,-17038.599186743842,0.0
180.0,127.09565841834275,18127.095658418344,-18127.095658418344,-18039.095658418344,0.0
190.0,127.5652803353332,19127.565280335333,-19127.565280335333,-19039.565280335333,0.0
200.0,128.01080822955623,20128.010808229556,-20128.010808229556,-20040.010808229556,0.0
210.0,128.434594210955,21128.434594210954,-21128.434594210954,-21040.434594210954,0.0
220.0,128.83866193272075,22128.83866193272,-22128.83866193272,-22040.83866193272,0.0
230.0,129.22476503662847,23129.22476503663,-23129.22476503663,-23041.22476503663,0.0
240.0,129.59443315050873,24129.59443315051,-24129.59443315051,-24041.59443315051,0.0
250.0,129.94900848971736,25129.94900848972,-25129.94900848972,-25041.94900848972,0.0
260.0,130.28967527569299,26130.289675275693,-26130.289675275693,-26042.289675275693,0.0
270.0,130.61748359945636,27130.617483599457,-27130.617483599457,-27042.617483599457,0.0
280.0,130.933368943121,28130.933368943122,-28130.933368943122,-28042.933368943122,0.0
290.0,131.23816827425574,29131.238168274256,-29131.238168274256,-29043.238168274256,0.0
300.0,131.53263341066986,30131.53263341067,-30131.53263341067,-30043.53263341067,0.0
310.0,131.8174421929621,31131.81744219296,-31131.81744219296,-31043.81744219296,0.0
320.0,132.09320788267473,32132.093207882674,-32132.093207882674,-32044.093207882674,0.0
330.0,132.36048711383438,33132.36048711384,-33132.36048711384,-33044.36048711384,0.0
340.0,132.61978665712172,34132.619786657124,-34132.619786657124,-34044.619786657124,0.0
350.0,132.87156920328212,35132.871569203286,-35132.871569203286,-35044.871569203286,0.0
360.0,133.11625833162236,36133.116258331625,-36133.116258331625,-36045.116258331625,0.0
370.0,133.3542427976165,37133.35424279761,-37133.35424279761,-37045.35424279761,0.0
380.0,133.58588024861282,38133.58588024861,-38133.58588024861,-38045.58588024861,0.0
390.0,133.8115004568066,39133.81150045681,-39133.81150045681,-39045.81150045681,0.0
400.0,134.03140814283586,40134.03140814284,-40134.03140814284,-40046.03140814284,0.0
410.0,134.24588545067132,41134.24588545067,-41134.24588545067,-41046.24588545067,0.0
420.0,134.45519412423462,42134.45519412423,-42134.45519412423,-42046.45519412423,0.0
430.0,134.65957742786836,43134.65957742787,-43134.65957742787,-43046.65957742787,0.0
440.0,134.85926184600038,44134.859261846,-44134.859261846,-44046.859261846,0.0
