distance_m,FSPL_dB,path_loss_dB,Pr_dBm,SNR_dB,Eb_J,capacity_bps,outage_flag_cap
10.0,101.99020831627662,301.9902083162766,-301.9902083162766,-213.9902083162766,1e-10,0.0,1
20.0,108.01080822955625,508.01080822955623,-508.01080822955623,-420.01080822955623,1e-10,0.0,1
30.0,111.53263341066987,711.5326334106699,-711.5326334106699,-623.5326334106699,1e-10,0.0,1
40.0,114.03140814283587,914.0314081428359,-914.0314081428359,-826.0314081428359,1e-10,0.0,1
50.0,115.969608402997,1115.969608402997,-1115.969608402997,-1027.969608402997,1e-10,0.0,1
60.0,117.5532333239495,1317.5532333239496,-1317.5532333239496,-1229.5532333239496,1e-10,0.0,1
70.0,118.89216911656176,1518.8921691165617,-1518.8921691165617,-1430.8921691165617,1e-10,0.0,1
80.0,120.0520080561155,1720.0520080561155,-1720.0520080561155,-1632.0520080561155,1e-10,0.0,1
90.0,121.07505850506313,1921.0750585050632,-1921.0750585050632,-1833.0750585050632,1e-10,0.0,1
100.0,121.99020831627662,2121.9902083162765,-2121.9902083162765,-2033.9902083162765,1e-10,0.0,1
110.0,122.81806201944113,2322.818062019441,-2322.818062019441,-2234.818062019441,1e-10,0.0,1
120.0,123.57383323722912,2523.5738332372293,-2523.5738332372293,-2435.5738332372293,1e-10,0.0,1
130.0,124.26907536241336,2724.2690753624133,-2724.2690753624133,-2636.2690753624133,1e-10,0.0,1
140.0,124.91276902984139,2924.9127690298415,-2924.9127690298415,-2836.9127690298415,1e-10,0.0,1
150.0,125.51203349739025,3125.5120334973903,-3125.5120334973903,-3037.5120334973903,1e-10,0.0,1
160.0,126.07260796939512,3326.072607969395,-3326.072607969395,-3238.072607969395,1e-10,0.0,1
170.0,126.5991867438421,3526.599186743842,-3526.599186743842,-3438.599186743842,1e-10,0.0,1
180.0,127.09565841834275,3727.0956584183427,-3727.0956584183427,-3639.0956584183427,1e-10,0.0,1
190.0,127.5652803353332,3927.5652803353332,-3927.5652803353332,-3839.5652803353332,1e-10,0.0,1
200.0,128.01080822955623,4128.0108082295565,-4128.0108082295565,-4040.0108082295565,1e-10,0.0,1
210.0,128.434594210955,4328.434594210955,-4328.434594210955,-4240.434594210955,1e-10,0.0,1
220.0,128.83866193272075,4528.838661932721,-4528.838661932721,-4440.838661932721,1e-10,0.0,1
230.0,129.22476503662847,4729.224765036628,-4729.224765036628,-4641.224765036628,1e-10,0.0,1
240.0,129.59443315050873,4929.594433150509,-4929.594433150509,-4841.594433150509,1e-10,0.0,1
250.0,129.94900848971736,5129.949008489717,-5129.949008489717,-5041.949008489717,1e-10,0.0,1
260.0,130.28967527569299,5330.289675275693,-5330.289675275693,-5242.289675275693,1e-10,0.0,1
270.0,130.61748359945636,5530.617483599456,-5530.617483599456,-5442.617483599456,1e-10,0.0,1
280.0,130.933368943121,5730.933368943121,-5730.933368943121,-5642.933368943121,1e-10,0.0,1
290.0,131.23816827425574,5931.238168274256,-5931.238168274256,-5843.238168274256,1e-10,0.0,1
300.0,131.53263341066986,6131.53263341067,-6131.53263341067,-6043.53263341067,1e-10,0.0,1
310.0,131.8174421929621,6331.8174421929625,-6331.8174421929625,-6243.8174421929625,1e-10,0.0,1
320.0,132.09320788267473,6532.0932078826745,-6532.0932078826745,-6444.0932078826745,1e-10,0.0,1
330.0,132.36048711383438,6732.360487113834,-6732.360487113834,-6644.360487113834,1e-10,0.0,1
340.0,132.61978665712172,6932.619786657122,-6932.619786657122,-6844.619786657122,1e-10,0.0,1
350.0,132.87156920328212,7132.871569203282,-7132.871569203282,-7044.871569203282,1e-10,0.0,1
360.0,133.11625833162236,7333.116258331623,-7333.116258331623,-7245.116258331623,1e-10,0.0,1
370.0,133.3542427976165,7533.354242797616,-7533.354242797616,-7445.354242797616,1e-10,0.0,1
380.0,133.58588024861282,7733.585880248613,-7733.585880248613,-7645.585880248613,1e-10,0.0,1
390.0,133.8115004568066,7933.811500456806,-7933.811500456806,-7845.811500456806,1e-10,0.0,1
400.0,134.03140814283586,8134.031408142836,-8134.031408142836,-8046.031408142836,1e-10,0.0,1
410.0,134.24588545067132,8334.245885450671,-8334.245885450671,-8246.245885450671,1e-10,0.0,1
420.0,134.45519412423462,8534.455194124235,-8534.455194124235,-8446.455194124235,1e-10,0.0,1
430.0,134.65957742786836,8734.659577427868,-8734.659577427868,-8646.659577427868,1e-10,0.0,1
440.0,134.85926184600038,8934.859261846,-8934.859261846,-8846.859261846,1e-10,0.0,1
450.0,135.0544585917835,9135.054458591783,-9135.054458591783,-9047.054458591783,1e-10,0.0,1
460.0,135.2453649499081,9335.245364949908,-9335.245364949908,-9247.245364949908,1e-10,0.0,1
470.0,135.43216547499097,9535.432165474991,-9535.432165474991,-9447.432165474991,1e-10,0.0,1
480.0,135.61503306378836,9735.615033063788,-9735.615033063788,-9647.615033063788,1e-10,0.0,1
490.0,135.79412991684688,9935.794129916847,-9935.794129916847,-9847.794129916847,1e-10,0.0,1
500.0,135.96960840299698,10135.969608402997,-10135.969608402997,-10047.969608402997,1e-10,0.0,1
510.0,136.14161183823535,10336.141611838235,-10336.141611838235,-10248.141611838235,1e-10,0.0,1
520.0,136.3102751889726,10536.310275188973,-10536.310275188973,-10448.310275188973,1e-10,0.0,1
530.0,136.4757257082924,10736.475725708293,-10736.475725708293,-10648.475725708293,1e-10,0.0,1
540.0,136.638083512736,10936.638083512737,-10936.638083512737,-10848.638083512737,1e-10,0.0,1
550.0,136.7974621061615,11136.797462106162,-11136.797462106162,-11048.797462106162,1e-10,0.0,1
560.0,136.95396885640062,11336.9539688564,-11336.9539688564,-11248.9539688564,1e-10,0.0,1
570.0,137.10770542972645,11537.107705429726,-11537.107705429726,-11449.107705429726,1e-10,0.0,1
580.0,137.25876818753537,11737.258768187536,-11737.258768187536,-11649.258768187536,1e-10,0.0,1
590.0,137.40724854911952,11937.40724854912,-11937.40724854912,-11849.40724854912,1e-10,0.0,1
600.0,137.55323332394948,12137.55323332395,-12137.55323332395,-12049.55323332395,1e-10,0.0,1
610.0,137.69680501649196,12337.696805016492,-12337.696805016492,-12249.696805016492,1e-10,0.0,1
620.0,137.83804210624172,12537.838042106241,-12537.838042106241,-12449.838042106241,1e-10,0.0,1
630.0,137.97701930534825,12737.977019305348,-12737.977019305348,-12649.977019305348,1e-10,0.0,1
640.0,138.11380779595436,12938.113807795955,-12938.113807795955,-12850.113807795955,1e-10,0.0,1
650.0,138.24847544913374,13138.248475449134,-13138.248475449134,-13050.248475449134,1e-10,0.0,1
660.0,138.381087027114,13338.381087027114,-13338.381087027114,-13250.381087027114,1e-10,0.0,1
670.0,138.51170437029316,13538.511704370294,-13538.511704370294,-13450.511704370294,1e-10,0.0,1
680.0,138.64038657040135,13738.640386570401,-13738.640386570401,-13650.640386570401,1e-10,0.0,1
690.0,138.76719013102172,13938.767190131022,-13938.767190131022,-13850.767190131022,1e-10,0.0,1
700.0,138.89216911656175,14138.892169116561,-14138.892169116561,-14050.892169116561,1e-10,0.0,1
710.0,139.01537529065814,14339.015375290659,-14339.015375290659,-14251.015375290659,1e-10,0.0,1
720.0,139.136858244902,14539.136858244901,-14539.136858244901,-14451.136858244901,1e-10,0.0,1
730.0,139.25666551868574,14739.256665518686,-14739.256665518686,-14651.256665518686,1e-10,0.0,1
740.0,139.37484271089613,14939.374842710897,-14939.374842710897,-14851.374842710897,1e-10,0.0,1
750.0,139.4914335841106,15139.491433584111,-15139.491433584111,-15051.491433584111,1e-10,0.0,1
760.0,139.60648016189245,15339.606480161892,-15339.606480161892,-15251.606480161892,1e-10,0.0,1
770.0,139.72002281972627,15539.720022819727,-15539.720022819727,-15451.720022819727,1e-10,0.0,1
780.0,139.83210037008624,15739.832100370086,-15739.832100370086,-15651.832100370086,1e-10,0.0,1
790.0,139.94275014208546,15939.942750142085,-15939.942750142085,-15851.942750142085,1e-10,0.0,1
800.0,140.05200805611548,16140.052008056115,-16140.052008056115,-16052.052008056115,1e-10,0.0,1
810.0,140.15990869384962,16340.15990869385,-16340.15990869385,-16252.15990869385,1e-10,0.0,1
820.0,140.26648536395095,16540.26648536395,-16540.26648536395,-16452.26648536395,1e-10,0.0,1
830.0,140.3717701637981,16740.371770163798,-16740.371770163798,-16652.371770163798,1e-10,0.0,1
840.0,140.47579403751425,16940.475794037513,-16940.475794037513,-16852.475794037513,1e-10,0.0,1
850.0,140.57858683056247,17140.57858683056,-17140.57858683056,-17052.57858683056,1e-10,0.0,1
860.0,140.68017734114795,17340.680177341146,-17340.680177341146,-17252.680177341146,1e-10,0.0,1
870.0,140.780593368649,17540.78059336865,-17540.78059336865,-17452.78059336865,1e-10,0.0,1
880.0,140.87986175928,17740.87986175928,-17740.87986175928,-17652.87986175928,1e-10,0.0,1
890.0,140.9780084491749,17940.978008449176,-17940.978008449176,-17852.978008449176,1e-10,0.0,1
900.0,141.0750585050631,18141.075058505063,-18141.075058505063,-18053.075058505063,1e-10,0.0,1
910.0,141.1710361626985,18341.171036162697,-18341.171036162697,-18253.171036162697,1e-10,0.0,1
920.0,141.26596486318772,18541.26596486319,-18541.26596486319,-18453.26596486319,1e-10,0.0,1
930.0,141.35986728735534,18741.359867287356,-18741.359867287356,-18653.359867287356,1e-10,0.0,1
940.0,141.4527653882706,18941.452765388272,-18941.452765388272,-18853.452765388272,1e-10,0.0,1
950.0,141.54468042205357,19141.544680422052,-19141.544680422052,-19053.544680422052,1e-10,0.0,1
960.0,141.63563297706798,19341.635632977068,-19341.635632977068,-19253.635632977068,1e-10,0.0,1
970.0,141.72564300160153,19541.725643001602,-19541.725643001602,-19453.725643001602,1e-10,0.0,1
980.0,141.8147298301265,19741.814729830126,-19741.814729830126,-19653.814729830126,1e-10,0.0,1
990.0,141.90291220822763,19941.90291220823,-19941.90291220823,-19853.90291220823,1e-10,0.0,1
1000.0,141.9902083162766,20141.990208316278,-20141.990208316278,-20053.990208316278,1e-10,0.0,1
1010.0,142.07663579192948,20342.07663579193,-20342.07663579193,-20254.07663579193,1e-10,0.0,1
1020.0,142.16221175151497,20542.162211751514,-20542.162211751514,-20454.162211751514,1e-10,0.0,1
1030.0,142.24695281038007,20742.24695281038,-20742.24695281038,-20654.24695281038,1e-10,0.0,1
1040.0,142.33087510225224,20942.330875102252,-20942.330875102252,-20854.330875102252,1e-10,0.0,1
1050.0,142.41399429767537,21142.413994297676,-21142.413994297676,-21054.413994297676,1e-10,0.0,1
1060.0,142.49632562157203,21342.49632562157,-21342.49632562157,-21254.49632562157,1e-10,0.0,1
1070.0,142.5778838699808,21542.57788386998,-21542.57788386998,-21454.57788386998,1e-10,0.0,1
1080.0,142.6586834260156,21742.658683426016,-21742.658683426016,-21654.658683426016,1e-10,0.0,1
1090.0,142.7387382750891,21942.73873827509,-21942.73873827509,-21854.73873827509,1e-10,0.0,1
1100.0,142.81806201944113,22142.81806201944,-22142.81806201944,-22054.81806201944,1e-10,0.0,1
