distance_m,FSPL_dB,path_loss_dB,Pr_dBm,SNR_dB,Eb_J,capacity_bps,outage_flag_cap
10.0,101.99020831627662,601.9902083162766,-601.9902083162766,-513.9902083162766,1e-10,0.0,1
20.0,108.01080822955625,1108.0108082295562,-1108.0108082295562,-1020.0108082295562,1e-10,0.0,1
30.0,111.53263341066987,1611.5326334106699,-1611.5326334106699,-1523.5326334106699,1e-10,0.0,1
40.0,114.03140814283587,2114.031408142836,-2114.031408142836,-2026.031408142836,1e-10,0.0,1
50.0,115.969608402997,2615.969608402997,-2615.969608402997,-2527.969608402997,1e-10,0.0,1
60.0,117.5532333239495,3117.5532333239494,-3117.5532333239494,-3029.5532333239494,1e-10,0.0,1
70.0,118.89216911656176,3618.892169116562,-3618.892169116562,-3530.892169116562,1e-10,0.0,1
80.0,120.0520080561155,4120.0520080561155,-4120.0520080561155,-4032.0520080561155,1e-10,0.0,1
90.0,121.07505850506313,4621.075058505063,-4621.075058505063,-4533.075058505063,1e-10,0.0,1
100.0,121.99020831627662,5121.990208316277,-5121.990208316277,-5033.990208316277,1e-10,0.0,1
110.0,122.81806201944113,5622.818062019441,-5622.818062019441,-5534.818062019441,1e-10,0.0,1
120.0,123.57383323722912,6123.573833237229,-6123.573833237229,-6035.573833237229,1e-10,0.0,1
130.0,124.26907536241336,6624.269075362414,-6624.269075362414,-6536.269075362414,1e-10,0.0,1
140.0,124.91276902984139,7124.912769029841,-7124.912769029841,-7036.912769029841,1e-10,0.0,1
150.0,125.51203349739025,7625.51203349739,-7625.51203349739,-7537.51203349739,1e-10,0.0,1
160.0,126.07260796939512,8126.072607969395,-8126.072607969395,-8038.072607969395,1e-10,0.0,1
170.0,126.5991867438421,8626.599186743842,-8626.599186743842,-8538.599186743842,1e-10,0.0,1
180.0,127.09565841834275,9127.095658418342,-9127.095658418342,-9039.095658418342,1e-10,0.0,1
190.0,127.5652803353332,9627.565280335333,-9627.565280335333,-9539.565280335333,1e-10,0.0,1
200.0,128.01080822955623,10128.010808229556,-10128.010808229556,-10040.010808229556,1e-10,0.0,1
210.0,128.434594210955,10628.434594210956,-10628.434594210956,-10540.434594210956,1e-10,0.0,1
220.0,128.83866193272075,11128.838661932721,-11128.838661932721,-11040.838661932721,1e-10,0.0,1
230.0,129.22476503662847,11629.224765036628,-11629.224765036628,-11541.224765036628,1e-10,0.0,1
240.0,129.59443315050873,12129.594433150509,-12129.594433150509,-12041.594433150509,1e-10,0.0,1
250.0,129.94900848971736,12629.949008489717,-12629.949008489717,-12541.949008489717,1e-10,0.0,1
260.0,130.28967527569299,13130.289675275693,-13130.289675275693,-13042.289675275693,1e-10,0.0,1
270.0,130.61748359945636,13630.617483599457,-13630.617483599457,-13542.617483599457,1e-10,0.0,1
280.0,130.933368943121,14130.93336894312,-14130.93336894312,-14042.93336894312,1e-10,0.0,1
290.0,131.23816827425574,14631.238168274256,-14631.238168274256,-14543.238168274256,1e-10,0.0,1
300.0,131.53263341066986,15131.53263341067,-15131.53263341067,-15043.53263341067,1e-10,0.0,1
310.0,131.8174421929621,15631.817442192962,-15631.817442192962,-15543.817442192962,1e-10,0.0,1
320.0,132.09320788267473,16132.093207882675,-16132.093207882675,-16044.093207882675,1e-10,0.0,1
330.0,132.36048711383438,16632.360487113834,-16632.360487113834,-16544.360487113834,1e-10,0.0,1
340.0,132.61978665712172,17132.61978665712,-17132.61978665712,-17044.61978665712,1e-10,0.0,1
350.0,132.87156920328212,17632.871569203282,-17632.871569203282,-17544.871569203282,1e-10,0.0,1
360.0,133.11625833162236,18133.11625833162,-18133.11625833162,-18045.11625833162,1e-10,0.0,1
370.0,133.3542427976165,18633.354242797617,-18633.354242797617,-18545.354242797617,1e-10,0.0,1
380.0,133.58588024861282,19133.585880248615,-19133.585880248615,-19045.585880248615,1e-10,0.0,1
390.0,133.8115004568066,19633.811500456806,-19633.811500456806,-19545.811500456806,1e-10,0.0,1
400.0,134.03140814283586,20134.031408142837,-20134.031408142837,-20046.031408142837,1e-10,0.0,1
410.0,134.24588545067132,20634.245885450673,-20634.245885450673,-20546.245885450673,1e-10,0.0,1
420.0,134.45519412423462,21134.455194124235,-21134.455194124235,-21046.455194124235,1e-10,0.0,1
430.0,134.65957742786836,21634.65957742787,-21634.65957742787,-21546.65957742787,1e-10,0.0,1
440.0,134.85926184600038,22134.859261846,-22134.859261846,-22046.859261846,1e-10,0.0,1
450.0,135.0544585917835,22635.054458591785,-22635.054458591785,-22547.054458591785,1e-10,0.0,1
460.0,135.2453649499081,23135.245364949908,-23135.245364949908,-23047.245364949908,1e-10,0.0,1
470.0,135.43216547499097,23635.43216547499,-23635.43216547499,-23547.43216547499,1e-10,0.0,1
480.0,135.61503306378836,24135.61503306379,-24135.61503306379,-24047.61503306379,1e-10,0.0,1
490.0,135.79412991684688,24635.794129916845,-24635.794129916845,-24547.794129916845,1e-10,0.0,1
500.0,135.96960840299698,25135.969608402997,-25135.969608402997,-25047.969608402997,1e-10,0.0,1
510.0,136.14161183823535,25636.141611838237,-25636.141611838237,-25548.141611838237,1e-10,0.0,1
520.0,136.3102751889726,26136.31027518897,-26136.31027518897,-26048.31027518897,1e-10,0.0,1
530.0,136.4757257082924,26636.475725708293,-26636.475725708293,-26548.475725708293,1e-10,0.0,1
540.0,136.638083512736,27136.638083512735,-27136.638083512735,-27048.638083512735,1e-10,0.0,1
550.0,136.7974621061615,27636.797462106162,-27636.797462106162,-27548.797462106162,1e-10,0.0,1
560.0,136.95396885640062,28136.9539688564,-28136.9539688564,-28048.9539688564,1e-10,0.0,1
570.0,137.10770542972645,28637.107705429728,-28637.107705429728,-28549.107705429728,1e-10,0.0,1
580.0,137.25876818753537,29137.258768187534,-29137.258768187534,-29049.258768187534,1e-10,0.0,1
590.0,137.40724854911952,29637.40724854912,-29637.40724854912,-29549.40724854912,1e-10,0.0,1
600.0,137.55323332394948,30137.55323332395,-30137.55323332395,-30049.55323332395,1e-10,0.0,1
610.0,137.69680501649196,30637.69680501649,-30637.69680501649,-30549.69680501649,1e-10,0.0,1
620.0,137.83804210624172,31137.838042106243,-31137.838042106243,-31049.838042106243,1e-10,0.0,1
630.0,137.97701930534825,31637.97701930535,-31637.97701930535,-31549.97701930535,1e-10,0.0,1
