distance_m,FSPL_dB,path_loss_dB,Pr_dBm,SNR_dB,Eb_J,capacity_bps,outage_flag_cap
10.0,101.99020831627662,1601.9902083162767,-1601.9902083162767,-1513.9902083162767,1e-10,0.0,1
20.0,108.01080822955625,3108.0108082295565,-3108.0108082295565,-3020.0108082295565,1e-10,0.0,1
30.0,111.53263341066987,4611.53263341067,-4611.53263341067,-4523.53263341067,1e-10,0.0,1
40.0,114.03140814283587,6114.031408142836,-6114.031408142836,-6026.031408142836,1e-10,0.0,1
50.0,115.969608402997,7615.969608402997,-7615.969608402997,-7527.969608402997,1e-10,0.0,1
60.0,117.5532333239495,9117.55323332395,-9117.55323332395,-9029.55323332395,1e-10,0.0,1
70.0,118.89216911656176,10618.892169116561,-10618.892169116561,-10530.892169116561,1e-10,0.0,1
80.0,120.0520080561155,12120.052008056116,-12120.052008056116,-12032.052008056116,1e-10,0.0,1
90.0,121.07505850506313,13621.075058505063,-13621.075058505063,-13533.075058505063,1e-10,0.0,1
100.0,121.99020831627662,15121.990208316276,-15121.990208316276,-15033.990208316276,1e-10,0.0,1
110.0,122.81806201944113,16622.81806201944,-16622.81806201944,-16534.81806201944,1e-10,0.0,1
120.0,123.57383323722912,18123.573833237228,-18123.573833237228,-18035.573833237228,1e-10,0.0,1
130.0,124.26907536241336,19624.269075362412,-19624.269075362412,-19536.269075362412,1e-10,0.0,1
140.0,124.91276902984139,21124.91276902984,-21124.91276902984,-21036.91276902984,1e-10,0.0,1
150.0,125.51203349739025,22625.51203349739,-22625.51203349739,-22537.51203349739,1e-10,0.0,1
160.0,126.07260796939512,24126.072607969396,-24126.072607969396,-24038.072607969396,1e-10,0.0,1
170.0,126.5991867438421,25626.599186743842,-25626.599186743842,-25538.599186743842,1e-10,0.0,1
180.0,127.09565841834275,27127.095658418344,-27127.095658418344,-27039.095658418344,1e-10,0.0,1
190.0,127.5652803353332,28627.565280335333,-28627.565280335333,-28539.565280335333,1e-10,0.0,1
200.0,128.01080822955623,30128.010808229556,-30128.010808229556,-30040.010808229556,1e-10,0.0,1
210.0,128.434594210955,31628.434594210954,-31628.434594210954,-31540.434594210954,1e-10,0.0,1
220.0,128.83866193272075,33128.83866193272,-33128.83866193272,-33040.83866193272,1e-10,0.0,1
230.0,129.22476503662847,34629.224765036626,-34629.224765036626,-34541.224765036626,1e-10,0.0,1
240.0,129.59443315050873,36129.59443315051,-36129.59443315051,-36041.59443315051,1e-10,0.0,1
250.0,129.94900848971736,37629.94900848972,-37629.94900848972,-37541.94900848972,1e-10,0.0,1
260.0,130.28967527569299,39130.28967527569,-39130.28967527569,-39042.28967527569,1e-10,0.0,1
270.0,130.61748359945636,40630.61748359945,-40630.61748359945,-40542.61748359945,1e-10,0.0,1
280.0,130.933368943121,42130.93336894312,-42130.93336894312,-42042.93336894312,1e-10,0.0,1
290.0,131.23816827425574,43631.238168274256,-43631.238168274256,-43543.238168274256,1e-10,0.0,1
300.0,131.53263341066986,45131.53263341067,-45131.53263341067,-45043.53263341067,1e-10,0.0,1
310.0,131.8174421929621,46631.817442192965,-46631.817442192965,-46543.817442192965,1e-10,0.0,1
320.0,132.09320788267473,48132.09320788267,-48132.09320788267,-48044.09320788267,1e-10,0.0,1
330.0,132.36048711383438,49632.36048711384,-49632.36048711384,-49544.36048711384,1e-10,0.0,1
340.0,132.61978665712172,51132.619786657124,-51132.619786657124,-51044.619786657124,1e-10,0.0,1
350.0,132.87156920328212,52632.871569203286,-52632.871569203286,-52544.871569203286,1e-10,0.0,1
360.0,133.11625833162236,54133.116258331625,-54133.116258331625,-54045.116258331625,1e-10,0.0,1
370.0,133.3542427976165,55633.35424279761,-55633.35424279761,-55545.35424279761,1e-10,0.0,1
380.0,133.58588024861282,57133.58588024861,-57133.58588024861,-57045.58588024861,1e-10,0.0,1
390.0,133.8115004568066,58633.81150045681,-58633.81150045681,-58545.81150045681,1e-10,0.0,1
400.0,134.03140814283586,60134.03140814284,-60134.03140814284,-60046.03140814284,1e-10,0.0,1
410.0,134.24588545067132,61634.24588545067,-61634.24588545067,-61546.24588545067,1e-10,0.0,1
420.0,134.45519412423462,63134.45519412423,-63134.45519412423,-63046.45519412423,1e-10,0.0,1
430.0,134.65957742786836,64634.65957742787,-64634.65957742787,-64546.65957742787,1e-10,0.0,1
440.0,134.85926184600038,66134.859261846,-66134.859261846,-66046.859261846,1e-10,0.0,1
450.0,135.0544585917835,67635.05445859178,-67635.05445859178,-67547.05445859178,1e-10,0.0,1
460.0,135.2453649499081,69135.24536494991,-69135.24536494991,-69047.24536494991,1e-10,0.0,1
470.0,135.43216547499097,70635.432165475,-70635.432165475,-70547.432165475,1e-10,0.0,1
480.0,135.61503306378836,72135.61503306379,-72135.61503306379,-72047.61503306379,1e-10,0.0,1
490.0,135.79412991684688,73635.79412991685,-73635.79412991685,-73547.79412991685,1e-10,0.0,1
500.0,135.96960840299698,75135.969608403,-75135.969608403,-75047.969608403,1e-10,0.0,1
